Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.100000E+05;  0.154000E+03; -0.754222E+01; -0.458658E+03;  0.000000E+00; -0.466201E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.100139E+05;  0.154000E+03; -0.754293E+01; -0.455996E+03;  0.000000E+00; -0.463539E+03
  0.589980E+04;  0.100167E+04;  0.223482E-01;  0.100019E+05;  0.154000E+03; -0.754444E+01; -0.454460E+03;  0.000000E+00; -0.462005E+03
  0.588159E+04;  0.992350E+03;  0.264625E-01;  0.100146E+05;  0.154000E+03; -0.754566E+01; -0.454555E+03;  0.000000E+00; -0.462101E+03
  0.587926E+04;  0.995086E+03;  0.287160E-01;  0.100507E+05;  0.154000E+03; -0.754753E+01; -0.454274E+03;  0.000000E+00; -0.461822E+03
  0.577339E+04;  0.100347E+04;  0.286776E-01;  0.100499E+05;  0.154000E+03; -0.754747E+01; -0.451283E+03;  0.000000E+00; -0.458831E+03
  0.565601E+04;  0.101366E+04;  0.294280E-01;  0.100457E+05;  0.154000E+03; -0.754752E+01; -0.449006E+03;  0.000000E+00; -0.456554E+03
  0.561477E+04;  0.105131E+04;  0.231386E-01;  0.100468E+05;  0.154000E+03; -0.754573E+01; -0.446810E+03;  0.000000E+00; -0.454356E+03
  0.552470E+04;  0.105191E+04;  0.160768E-01;  0.100437E+05;  0.154000E+03; -0.754405E+01; -0.446258E+03;  0.000000E+00; -0.453802E+03
  0.557344E+04;  0.106663E+04;  0.227261E-01;  0.100646E+05;  0.154000E+03; -0.754661E+01; -0.446003E+03;  0.000000E+00; -0.453550E+03
  0.552734E+04;  0.107345E+04;  0.231778E-01;  0.100618E+05;  0.154000E+03; -0.754655E+01; -0.445627E+03;  0.000000E+00; -0.453174E+03
  0.539126E+04;  0.109208E+04;  0.112889E-01;  0.100660E+05;  0.154000E+03; -0.754455E+01; -0.445003E+03;  0.000000E+00; -0.452548E+03
  0.545736E+04;  0.109118E+04;  0.155528E-01;  0.100862E+05;  0.154000E+03; -0.754672E+01; -0.444966E+03;  0.000000E+00; -0.452513E+03
  0.542664E+04;  0.109871E+04;  0.162825E-01;  0.100866E+05;  0.154000E+03; -0.754688E+01; -0.444829E+03;  0.000000E+00; -0.452376E+03
  0.540509E+04;  0.109651E+04;  0.187511E-01;  0.100992E+05;  0.154000E+03; -0.754853E+01; -0.445017E+03;  0.000000E+00; -0.452565E+03
  0.545432E+04;  0.107967E+04;  0.163694E-01;  0.101107E+05;  0.154000E+03; -0.754927E+01; -0.445351E+03;  0.000000E+00; -0.452900E+03
  0.538222E+04;  0.110087E+04;  0.745039E-02;  0.101145E+05;  0.154000E+03; -0.754852E+01; -0.444796E+03;  0.000000E+00; -0.452345E+03
  0.530100E+04;  0.111209E+04; -0.995500E-03;  0.101049E+05;  0.154000E+03; -0.754717E+01; -0.444820E+03;  0.000000E+00; -0.452368E+03
  0.523066E+04;  0.111359E+04; -0.403643E-02;  0.101052E+05;  0.154000E+03; -0.754728E+01; -0.445270E+03;  0.000000E+00; -0.452817E+03
  0.525872E+04;  0.113453E+04; -0.522732E-02;  0.100916E+05;  0.154000E+03; -0.754600E+01; -0.444611E+03;  0.000000E+00; -0.452157E+03
  0.517526E+04;  0.115149E+04; -0.199212E-03;  0.101028E+05;  0.154000E+03; -0.754695E+01; -0.445191E+03;  0.000000E+00; -0.452738E+03
  0.524126E+04;  0.112886E+04; -0.334391E-04;  0.101096E+05;  0.154000E+03; -0.754766E+01; -0.444953E+03;  0.000000E+00; -0.452500E+03
  0.538803E+04;  0.112262E+04; -0.270319E-03;  0.100852E+05;  0.154000E+03; -0.754529E+01; -0.444165E+03;  0.000000E+00; -0.451710E+03
  0.547416E+04;  0.111261E+04; -0.343493E-02;  0.101153E+05;  0.154000E+03; -0.754837E+01; -0.444254E+03;  0.000000E+00; -0.451802E+03
  0.542602E+04;  0.110921E+04; -0.547248E-02;  0.101166E+05;  0.154000E+03; -0.754862E+01; -0.444337E+03;  0.000000E+00; -0.451886E+03
  0.552422E+04;  0.109055E+04; -0.108440E-01;  0.101198E+05;  0.154000E+03; -0.754949E+01; -0.444907E+03;  0.000000E+00; -0.452456E+03
  0.541056E+04;  0.109038E+04; -0.534694E-02;  0.101250E+05;  0.154000E+03; -0.754964E+01; -0.444817E+03;  0.000000E+00; -0.452367E+03
  0.551393E+04;  0.110565E+04; -0.455404E-02;  0.101247E+05;  0.154000E+03; -0.754955E+01; -0.444484E+03;  0.000000E+00; -0.452033E+03
