Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.100000E+05;  0.154000E+03; -0.124404E+02; -0.460068E+03;  0.000000E+00; -0.472508E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.100139E+05;  0.153378E+03; -0.124458E+02; -0.457253E+03;  0.000000E+00; -0.469699E+03
  0.598685E+04;  0.102991E+04;  0.100420E-01;  0.100133E+05;  0.153149E+03; -0.124469E+02; -0.456910E+03;  0.000000E+00; -0.469356E+03
  0.593961E+04;  0.102817E+04;  0.799845E-02;  0.100333E+05;  0.154159E+03; -0.124396E+02; -0.455502E+03;  0.000000E+00; -0.467942E+03
  0.595602E+04;  0.103411E+04;  0.888166E-02;  0.100335E+05;  0.153849E+03; -0.124420E+02; -0.455561E+03;  0.000000E+00; -0.468003E+03
  0.589055E+04;  0.102589E+04;  0.102536E-01;  0.100450E+05;  0.154512E+03; -0.124377E+02; -0.454024E+03;  0.000000E+00; -0.466462E+03
  0.589234E+04;  0.103157E+04;  0.912500E-02;  0.100462E+05;  0.155173E+03; -0.124330E+02; -0.453726E+03;  0.000000E+00; -0.466159E+03
  0.594108E+04;  0.104301E+04;  0.102248E-01;  0.100568E+05;  0.156044E+03; -0.124279E+02; -0.454363E+03;  0.000000E+00; -0.466791E+03
  0.589104E+04;  0.106236E+04;  0.130131E-01;  0.100559E+05;  0.156176E+03; -0.124273E+02; -0.451602E+03;  0.000000E+00; -0.464030E+03
  0.580325E+04;  0.106189E+04;  0.101955E-01;  0.100162E+05;  0.156154E+03; -0.124257E+02; -0.449702E+03;  0.000000E+00; -0.462128E+03
  0.577697E+04;  0.108780E+04;  0.668403E-02;  0.100346E+05;  0.155772E+03; -0.124283E+02; -0.448115E+03;  0.000000E+00; -0.460543E+03
  0.575269E+04;  0.109723E+04;  0.267542E-02;  0.100520E+05;  0.155622E+03; -0.124299E+02; -0.447432E+03;  0.000000E+00; -0.459862E+03
  0.574700E+04;  0.111186E+04;  0.438223E-02;  0.100525E+05;  0.154728E+03; -0.124361E+02; -0.446787E+03;  0.000000E+00; -0.459223E+03
  0.565660E+04;  0.111244E+04;  0.739715E-02;  0.100436E+05;  0.154165E+03; -0.124399E+02; -0.445665E+03;  0.000000E+00; -0.458105E+03
  0.552169E+04;  0.110133E+04;  0.700569E-02;  0.100285E+05;  0.154950E+03; -0.124337E+02; -0.445154E+03;  0.000000E+00; -0.457588E+03
  0.556253E+04;  0.109322E+04;  0.691901E-02;  0.100068E+05;  0.154856E+03; -0.124340E+02; -0.445549E+03;  0.000000E+00; -0.457983E+03
  0.558088E+04;  0.109511E+04; -0.633758E-03;  0.100285E+05;  0.155233E+03; -0.124315E+02; -0.445631E+03;  0.000000E+00; -0.458063E+03
  0.558088E+04;  0.109618E+04; -0.389454E-02;  0.100370E+05;  0.155553E+03; -0.124297E+02; -0.445626E+03;  0.000000E+00; -0.458056E+03
  0.551792E+04;  0.109620E+04; -0.105820E-01;  0.100501E+05;  0.154663E+03; -0.124369E+02; -0.445307E+03;  0.000000E+00; -0.457744E+03
  0.553548E+04;  0.110573E+04; -0.128966E-01;  0.100519E+05;  0.155625E+03; -0.124307E+02; -0.445148E+03;  0.000000E+00; -0.457579E+03
  0.548954E+04;  0.110329E+04; -0.159663E-01;  0.100588E+05;  0.154781E+03; -0.124374E+02; -0.445035E+03;  0.000000E+00; -0.457472E+03
  0.545195E+04;  0.108164E+04; -0.791252E-02;  0.100757E+05;  0.154870E+03; -0.124368E+02; -0.445534E+03;  0.000000E+00; -0.457970E+03
  0.548707E+04;  0.107447E+04; -0.335029E-02;  0.100891E+05;  0.154055E+03; -0.124435E+02; -0.445861E+03;  0.000000E+00; -0.458305E+03
  0.540715E+04;  0.107692E+04; -0.510520E-02;  0.100896E+05;  0.154079E+03; -0.124434E+02; -0.445690E+03;  0.000000E+00; -0.458133E+03
  0.550653E+04;  0.108257E+04; -0.192806E-02;  0.100865E+05;  0.154518E+03; -0.124399E+02; -0.445668E+03;  0.000000E+00; -0.458108E+03
  0.555540E+04;  0.106403E+04; -0.254469E-02;  0.100913E+05;  0.153945E+03; -0.124444E+02; -0.446546E+03;  0.000000E+00; -0.458991E+03
  0.563798E+04;  0.106241E+04;  0.984831E-03;  0.100699E+05;  0.153349E+03; -0.124472E+02; -0.447323E+03;  0.000000E+00; -0.459771E+03
  0.580651E+04;  0.106843E+04;  0.402801E-02;  0.100779E+05;  0.153585E+03; -0.124460E+02; -0.449625E+03;  0.000000E+00; -0.462071E+03
  0.579180E+04;  0.105951E+04;  0.336254E-02;  0.100773E+05;  0.153598E+03; -0.124459E+02; -0.449791E+03;  0.000000E+00; -0.462237E+03
  0.579180E+04;  0.107619E+04;  0.738186E-03;  0.100679E+05;  0.153622E+03; -0.124449E+02; -0.449068E+03;  0.000000E+00; -0.461513E+03
  0.574646E+04;  0.108523E+04;  0.672498E-02;  0.100680E+05;  0.154380E+03; -0.124397E+02; -0.447731E+03;  0.000000E+00; -0.460171E+03
  0.564303E+04;  0.112187E+04;  0.108983E-01;  0.100443E+05;  0.154376E+03; -0.124388E+02; -0.445248E+03;  0.000000E+00; -0.457687E+03
  0.564025E+04;  0.112089E+04;  0.150845E-01;  0.100369E+05;  0.155139E+03; -0.124337E+02; -0.445225E+03;  0.000000E+00; -0.457658E+03
  0.570742E+04;  0.110944E+04;  0.169729E-01;  0.100513E+05;  0.155551E+03; -0.124319E+02; -0.446180E+03;  0.000000E+00; -0.458612E+03
  0.542986E+04;  0.114082E+04;  0.704201E-02;  0.100761E+05;  0.155554E+03; -0.124321E+02; -0.444186E+03;  0.000000E+00; -0.456618E+03
  0.543742E+04;  0.116400E+04;  0.158769E-01;  0.100623E+05;  0.154838E+03; -0.124372E+02; -0.443795E+03;  0.000000E+00; -0.456233E+03
  0.545541E+04;  0.116069E+04;  0.213439E-01;  0.100435E+05;  0.154572E+03; -0.124392E+02; -0.443852E+03;  0.000000E+00; -0.456291E+03
  0.547103E+04;  0.114729E+04;  0.228151E-01;  0.100668E+05;  0.153453E+03; -0.124490E+02; -0.444130E+03;  0.000000E+00; -0.456579E+03
  0.543639E+04;  0.115328E+04;  0.206470E-01;  0.100563E+05;  0.154183E+03; -0.124425E+02; -0.444036E+03;  0.000000E+00; -0.456478E+03
  0.547971E+04;  0.114677E+04;  0.226622E-01;  0.100630E+05;  0.154656E+03; -0.124400E+02; -0.444120E+03;  0.000000E+00; -0.456560E+03
  0.548383E+04;  0.113585E+04;  0.297944E-01;  0.100716E+05;  0.153452E+03; -0.124514E+02; -0.444461E+03;  0.000000E+00; -0.456912E+03
  0.567190E+04;  0.112021E+04;  0.305843E-01;  0.100732E+05;  0.152644E+03; -0.124580E+02; -0.445469E+03;  0.000000E+00; -0.457927E+03
  0.565902E+04;  0.114839E+04;  0.225920E-01;  0.100741E+05;  0.152660E+03; -0.124556E+02; -0.444617E+03;  0.000000E+00; -0.457073E+03
  0.561608E+04;  0.114330E+04;  0.216991E-01;  0.100748E+05;  0.150854E+03; -0.124703E+02; -0.444496E+03;  0.000000E+00; -0.456966E+03
  0.560776E+04;  0.118267E+04;  0.139664E-01;  0.100742E+05;  0.149658E+03; -0.124793E+02; -0.443670E+03;  0.000000E+00; -0.456149E+03
  0.566981E+04;  0.118390E+04;  0.228998E-01;  0.100355E+05;  0.149455E+03; -0.124808E+02; -0.443924E+03;  0.000000E+00; -0.456405E+03
  0.556800E+04;  0.116045E+04;  0.182701E-01;  0.100261E+05;  0.150676E+03; -0.124686E+02; -0.443915E+03;  0.000000E+00; -0.456384E+03
  0.536937E+04;  0.115942E+04;  0.151741E-01;  0.100336E+05;  0.150442E+03; -0.124703E+02; -0.444098E+03;  0.000000E+00; -0.456568E+03
  0.530034E+04;  0.114327E+04;  0.905079E-02;  0.100368E+05;  0.151273E+03; -0.124625E+02; -0.444693E+03;  0.000000E+00; -0.457156E+03
  0.523657E+04;  0.115889E+04;  0.996585E-02;  0.100273E+05;  0.151995E+03; -0.124563E+02; -0.444903E+03;  0.000000E+00; -0.457359E+03
  0.524446E+04;  0.118652E+04;  0.122781E-01;  0.100268E+05;  0.152365E+03; -0.124536E+02; -0.444446E+03;  0.000000E+00; -0.456900E+03
  0.524446E+04;  0.119105E+04;  0.572691E-02;  0.998642E+04;  0.150883E+03; -0.124649E+02; -0.444304E+03;  0.000000E+00; -0.456769E+03
  0.519486E+04;  0.122187E+04;  0.122949E-01;  0.997924E+04;  0.150848E+03; -0.124660E+02; -0.444463E+03;  0.000000E+00; -0.456929E+03
  0.520342E+04;  0.120795E+04; -0.181361E-02;  0.995988E+04;  0.152012E+03; -0.124560E+02; -0.444410E+03;  0.000000E+00; -0.456866E+03
  0.527692E+04;  0.119414E+04; -0.684276E-02;  0.994315E+04;  0.151045E+03; -0.124651E+02; -0.443968E+03;  0.000000E+00; -0.456433E+03
  0.529223E+04;  0.119456E+04; -0.754334E-02;  0.993017E+04;  0.151987E+03; -0.124582E+02; -0.443875E+03;  0.000000E+00; -0.456333E+03
  0.529919E+04;  0.117884E+04; -0.160434E-01;  0.989821E+04;  0.150389E+03; -0.124755E+02; -0.444000E+03;  0.000000E+00; -0.456476E+03
  0.526670E+04;  0.118158E+04; -0.614406E-02;  0.990012E+04;  0.150455E+03; -0.124736E+02; -0.444170E+03;  0.000000E+00; -0.456644E+03
  0.531023E+04;  0.119965E+04; -0.532518E-02;  0.991820E+04;  0.150519E+03; -0.124713E+02; -0.443729E+03;  0.000000E+00; -0.456201E+03
  0.539394E+04;  0.120458E+04; -0.613150E-02;  0.993715E+04;  0.150012E+03; -0.124745E+02; -0.443351E+03;  0.000000E+00; -0.455826E+03
  0.547135E+04;  0.122341E+04; -0.708030E-02;  0.994151E+04;  0.149879E+03; -0.124754E+02; -0.443112E+03;  0.000000E+00; -0.455587E+03
  0.541811E+04;  0.122894E+04; -0.118807E-01;  0.995259E+04;  0.149807E+03; -0.124760E+02; -0.443151E+03;  0.000000E+00; -0.455627E+03
  0.554370E+04;  0.119928E+04; -0.194079E-01;  0.995510E+04;  0.149205E+03; -0.124827E+02; -0.443600E+03;  0.000000E+00; -0.456082E+03
  0.544151E+04;  0.122300E+04; -0.261338E-01;  0.997051E+04;  0.147808E+03; -0.124972E+02; -0.443291E+03;  0.000000E+00; -0.455788E+03
  0.550126E+04;  0.122772E+04; -0.245840E-01;  0.999363E+04;  0.148343E+03; -0.124911E+02; -0.443268E+03;  0.000000E+00; -0.455760E+03
  0.551961E+04;  0.124167E+04; -0.307884E-01;  0.997807E+04;  0.148870E+03; -0.124882E+02; -0.443367E+03;  0.000000E+00; -0.455855E+03
  0.553686E+04;  0.122690E+04; -0.260024E-01;  0.999868E+04;  0.149941E+03; -0.124767E+02; -0.443404E+03;  0.000000E+00; -0.455881E+03
  0.563278E+04;  0.122690E+04; -0.357825E-01;  0.100129E+05;  0.150194E+03; -0.124778E+02; -0.444121E+03;  0.000000E+00; -0.456599E+03
  0.548085E+04;  0.121671E+04; -0.252625E-01;  0.100069E+05;  0.151206E+03; -0.124655E+02; -0.443337E+03;  0.000000E+00; -0.455802E+03
