Pos;Ech;Form;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.284479E+00; -0.458548E+03;  0.000000E+00; -0.458263E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.283858E+00; -0.455725E+03;  0.000000E+00; -0.455441E+03
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.283739E+00; -0.455682E+03;  0.000000E+00; -0.455398E+03
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.282918E+00; -0.451039E+03;  0.000000E+00; -0.450756E+03
  0.582259E+04;  0.104933E+04;  0.170197E-01;  0.283425E+00; -0.449057E+03;  0.000000E+00; -0.448773E+03
  0.575268E+04;  0.105368E+04;  0.244356E-01;  0.281717E+00; -0.447334E+03;  0.000000E+00; -0.447052E+03
  0.581892E+04;  0.103423E+04;  0.216144E-01;  0.282439E+00; -0.449672E+03;  0.000000E+00; -0.449390E+03
  0.576702E+04;  0.103282E+04;  0.284948E-01;  0.280523E+00; -0.448527E+03;  0.000000E+00; -0.448246E+03
  0.568806E+04;  0.102573E+04;  0.349893E-01;  0.278233E+00; -0.447536E+03;  0.000000E+00; -0.447258E+03
  0.564681E+04;  0.103351E+04;  0.337046E-01;  0.278723E+00; -0.446691E+03;  0.000000E+00; -0.446413E+03
  0.558563E+04;  0.104135E+04;  0.314001E-01;  0.279557E+00; -0.445822E+03;  0.000000E+00; -0.445543E+03
  0.558930E+04;  0.105280E+04;  0.338191E-01;  0.278680E+00; -0.445419E+03;  0.000000E+00; -0.445141E+03
  0.565583E+04;  0.107588E+04;  0.325037E-01;  0.279165E+00; -0.445129E+03;  0.000000E+00; -0.444850E+03
  0.561261E+04;  0.107436E+04;  0.379057E-01;  0.277052E+00; -0.444826E+03;  0.000000E+00; -0.444549E+03
  0.535073E+04;  0.106697E+04;  0.361838E-01;  0.277761E+00; -0.444764E+03;  0.000000E+00; -0.444486E+03
  0.538970E+04;  0.105534E+04;  0.356888E-01;  0.277958E+00; -0.444955E+03;  0.000000E+00; -0.444678E+03
  0.544169E+04;  0.108652E+04;  0.331781E-01;  0.278919E+00; -0.443962E+03;  0.000000E+00; -0.443683E+03
  0.552748E+04;  0.107536E+04;  0.383820E-01;  0.276850E+00; -0.444396E+03;  0.000000E+00; -0.444119E+03
  0.550328E+04;  0.107525E+04;  0.393107E-01;  0.276449E+00; -0.444354E+03;  0.000000E+00; -0.444077E+03
  0.554171E+04;  0.107799E+04;  0.430939E-01;  0.274717E+00; -0.444390E+03;  0.000000E+00; -0.444115E+03
  0.550517E+04;  0.108373E+04;  0.425093E-01;  0.274995E+00; -0.444139E+03;  0.000000E+00; -0.443864E+03
  0.538029E+04;  0.107552E+04;  0.374083E-01;  0.277260E+00; -0.444437E+03;  0.000000E+00; -0.444160E+03
  0.532334E+04;  0.106034E+04;  0.308538E-01;  0.279746E+00; -0.444983E+03;  0.000000E+00; -0.444703E+03
  0.539261E+04;  0.106184E+04;  0.298292E-01;  0.280091E+00; -0.444674E+03;  0.000000E+00; -0.444394E+03
  0.530576E+04;  0.104974E+04;  0.296889E-01;  0.280137E+00; -0.445356E+03;  0.000000E+00; -0.445076E+03
  0.531840E+04;  0.107343E+04;  0.243907E-01;  0.281729E+00; -0.444558E+03;  0.000000E+00; -0.444276E+03
