Pos;Ech;Form;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.284479E+00; -0.457139E+03;  0.000000E+00; -0.456854E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.283858E+00; -0.454471E+03;  0.000000E+00; -0.454187E+03
  0.597360E+04;  0.100280E+04;  0.152703E-01;  0.283739E+00; -0.455539E+03;  0.000000E+00; -0.455255E+03
  0.586290E+04;  0.101647E+04;  0.195195E-01;  0.282918E+00; -0.450857E+03;  0.000000E+00; -0.450574E+03
  0.582259E+04;  0.103550E+04;  0.170197E-01;  0.283425E+00; -0.448847E+03;  0.000000E+00; -0.448563E+03
  0.575268E+04;  0.103985E+04;  0.244356E-01;  0.281717E+00; -0.447134E+03;  0.000000E+00; -0.446852E+03
  0.581892E+04;  0.102041E+04;  0.216144E-01;  0.282439E+00; -0.449484E+03;  0.000000E+00; -0.449202E+03
  0.576702E+04;  0.101899E+04;  0.284948E-01;  0.280523E+00; -0.448351E+03;  0.000000E+00; -0.448070E+03
  0.568806E+04;  0.101191E+04;  0.349893E-01;  0.278233E+00; -0.447381E+03;  0.000000E+00; -0.447103E+03
  0.564681E+04;  0.101969E+04;  0.337046E-01;  0.278723E+00; -0.446531E+03;  0.000000E+00; -0.446253E+03
  0.558563E+04;  0.102753E+04;  0.314001E-01;  0.279557E+00; -0.445663E+03;  0.000000E+00; -0.445383E+03
  0.558930E+04;  0.103897E+04;  0.338191E-01;  0.278680E+00; -0.445256E+03;  0.000000E+00; -0.444977E+03
  0.565583E+04;  0.106206E+04;  0.325037E-01;  0.279165E+00; -0.444937E+03;  0.000000E+00; -0.444657E+03
  0.561261E+04;  0.106054E+04;  0.379057E-01;  0.277052E+00; -0.444650E+03;  0.000000E+00; -0.444373E+03
  0.535073E+04;  0.105315E+04;  0.361838E-01;  0.277761E+00; -0.444673E+03;  0.000000E+00; -0.444395E+03
  0.538970E+04;  0.104151E+04;  0.356888E-01;  0.277958E+00; -0.444855E+03;  0.000000E+00; -0.444577E+03
  0.544169E+04;  0.107270E+04;  0.331781E-01;  0.278919E+00; -0.443819E+03;  0.000000E+00; -0.443540E+03
  0.552748E+04;  0.106154E+04;  0.383820E-01;  0.276850E+00; -0.444240E+03;  0.000000E+00; -0.443963E+03
  0.550328E+04;  0.106142E+04;  0.393107E-01;  0.276449E+00; -0.444206E+03;  0.000000E+00; -0.443930E+03
  0.554171E+04;  0.106416E+04;  0.430939E-01;  0.274717E+00; -0.444235E+03;  0.000000E+00; -0.443961E+03
  0.550517E+04;  0.106991E+04;  0.425093E-01;  0.274995E+00; -0.443990E+03;  0.000000E+00; -0.443715E+03
  0.538029E+04;  0.106169E+04;  0.374083E-01;  0.277260E+00; -0.444330E+03;  0.000000E+00; -0.444053E+03
  0.532334E+04;  0.104651E+04;  0.308538E-01;  0.279746E+00; -0.444900E+03;  0.000000E+00; -0.444620E+03
  0.539261E+04;  0.104801E+04;  0.298292E-01;  0.280091E+00; -0.444559E+03;  0.000000E+00; -0.444279E+03
  0.530576E+04;  0.103591E+04;  0.296889E-01;  0.280137E+00; -0.445286E+03;  0.000000E+00; -0.445006E+03
  0.531840E+04;  0.105961E+04;  0.243907E-01;  0.281729E+00; -0.444457E+03;  0.000000E+00; -0.444176E+03
  0.529897E+04;  0.106649E+04;  0.163939E-01;  0.283541E+00; -0.444275E+03;  0.000000E+00; -0.443991E+03
  0.541794E+04;  0.108166E+04;  0.192144E-01;  0.282983E+00; -0.443490E+03;  0.000000E+00; -0.443207E+03
  0.540983E+04;  0.110295E+04;  0.147610E-01;  0.283824E+00; -0.442992E+03;  0.000000E+00; -0.442708E+03
  0.556523E+04;  0.111362E+04;  0.644538E-02;  0.284803E+00; -0.442911E+03;  0.000000E+00; -0.442626E+03
  0.547811E+04;  0.112696E+04;  0.128893E-01;  0.284111E+00; -0.442431E+03;  0.000000E+00; -0.442147E+03
  0.531643E+04;  0.110553E+04;  0.163587E-01;  0.283548E+00; -0.443325E+03;  0.000000E+00; -0.443042E+03
  0.537541E+04;  0.111515E+04;  0.255343E-01;  0.281412E+00; -0.442944E+03;  0.000000E+00; -0.442663E+03
  0.533174E+04;  0.109347E+04;  0.213391E-01;  0.282505E+00; -0.443544E+03;  0.000000E+00; -0.443262E+03
  0.542086E+04;  0.108175E+04;  0.230875E-01;  0.282073E+00; -0.443516E+03;  0.000000E+00; -0.443234E+03
  0.536007E+04;  0.109548E+04;  0.259045E-01;  0.281306E+00; -0.443419E+03;  0.000000E+00; -0.443138E+03
  0.542116E+04;  0.109816E+04;  0.325222E-01;  0.279158E+00; -0.443223E+03;  0.000000E+00; -0.442944E+03
  0.546563E+04;  0.106039E+04;  0.274158E-01;  0.280859E+00; -0.444092E+03;  0.000000E+00; -0.443812E+03
  0.548705E+04;  0.106343E+04;  0.269125E-01;  0.281010E+00; -0.444019E+03;  0.000000E+00; -0.443738E+03
  0.553007E+04;  0.107974E+04;  0.356721E-01;  0.277965E+00; -0.443692E+03;  0.000000E+00; -0.443414E+03
  0.552769E+04;  0.107974E+04;  0.279297E-01;  0.280701E+00; -0.443644E+03;  0.000000E+00; -0.443363E+03
  0.567507E+04;  0.108348E+04;  0.226766E-01;  0.282177E+00; -0.444438E+03;  0.000000E+00; -0.444156E+03
  0.555869E+04;  0.111335E+04;  0.225046E-01;  0.282221E+00; -0.442867E+03;  0.000000E+00; -0.442585E+03
  0.548395E+04;  0.112031E+04;  0.219752E-01;  0.282351E+00; -0.442592E+03;  0.000000E+00; -0.442310E+03
  0.560704E+04;  0.113097E+04;  0.267895E-01;  0.281047E+00; -0.442649E+03;  0.000000E+00; -0.442368E+03
  0.560776E+04;  0.114419E+04;  0.230680E-01;  0.282078E+00; -0.442373E+03;  0.000000E+00; -0.442091E+03
  0.562429E+04;  0.115531E+04;  0.275075E-01;  0.280831E+00; -0.442211E+03;  0.000000E+00; -0.441930E+03
  0.548886E+04;  0.114262E+04;  0.289495E-01;  0.280378E+00; -0.442190E+03;  0.000000E+00; -0.441910E+03
  0.549743E+04;  0.114200E+04;  0.324806E-01;  0.279173E+00; -0.442215E+03;  0.000000E+00; -0.441936E+03
  0.546788E+04;  0.116193E+04;  0.368867E-01;  0.277475E+00; -0.441932E+03;  0.000000E+00; -0.441654E+03
  0.549393E+04;  0.115699E+04;  0.455341E-01;  0.273516E+00; -0.442034E+03;  0.000000E+00; -0.441760E+03
  0.559880E+04;  0.116267E+04;  0.461964E-01;  0.273178E+00; -0.441990E+03;  0.000000E+00; -0.441717E+03
