Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.800000E+04;  0.150591E+03;  0.284479E+00; -0.461244E+03;  0.000000E+00; -0.460959E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.800000E+04;  0.150591E+03;  0.283858E+00; -0.458429E+03;  0.000000E+00; -0.458145E+03
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.800000E+04;  0.150591E+03;  0.283739E+00; -0.458391E+03;  0.000000E+00; -0.458108E+03
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.800000E+04;  0.150591E+03;  0.282918E+00; -0.454156E+03;  0.000000E+00; -0.453873E+03
  0.582259E+04;  0.104933E+04;  0.170197E-01;  0.800000E+04;  0.150591E+03;  0.283425E+00; -0.452149E+03;  0.000000E+00; -0.451865E+03
  0.575268E+04;  0.105368E+04;  0.244356E-01;  0.800000E+04;  0.150591E+03;  0.281717E+00; -0.450872E+03;  0.000000E+00; -0.450591E+03
  0.581892E+04;  0.105043E+04;  0.216144E-01;  0.800000E+04;  0.150591E+03;  0.282439E+00; -0.451946E+03;  0.000000E+00; -0.451664E+03
  0.576702E+04;  0.104902E+04;  0.284948E-01;  0.800000E+04;  0.150591E+03;  0.280523E+00; -0.451295E+03;  0.000000E+00; -0.451014E+03
  0.568806E+04;  0.104193E+04;  0.349893E-01;  0.800000E+04;  0.150591E+03;  0.278233E+00; -0.451199E+03;  0.000000E+00; -0.450921E+03
  0.569776E+04;  0.107109E+04;  0.337046E-01;  0.800000E+04;  0.150591E+03;  0.278723E+00; -0.449540E+03;  0.000000E+00; -0.449261E+03
  0.563658E+04;  0.107893E+04;  0.314001E-01;  0.800000E+04;  0.150591E+03;  0.279557E+00; -0.448951E+03;  0.000000E+00; -0.448671E+03
  0.564024E+04;  0.109038E+04;  0.338191E-01;  0.800000E+04;  0.150591E+03;  0.278680E+00; -0.448436E+03;  0.000000E+00; -0.448157E+03
  0.570678E+04;  0.111346E+04;  0.325037E-01;  0.800000E+04;  0.150591E+03;  0.279165E+00; -0.447580E+03;  0.000000E+00; -0.447301E+03
  0.566356E+04;  0.112028E+04;  0.379057E-01;  0.800000E+04;  0.150591E+03;  0.277052E+00; -0.447217E+03;  0.000000E+00; -0.446940E+03
  0.559726E+04;  0.111289E+04;  0.361838E-01;  0.800000E+04;  0.150591E+03;  0.277761E+00; -0.447520E+03;  0.000000E+00; -0.447242E+03
  0.563623E+04;  0.110126E+04;  0.356888E-01;  0.800000E+04;  0.150591E+03;  0.277958E+00; -0.447967E+03;  0.000000E+00; -0.447689E+03
  0.568822E+04;  0.113244E+04;  0.331781E-01;  0.800000E+04;  0.150591E+03;  0.278919E+00; -0.446771E+03;  0.000000E+00; -0.446492E+03
  0.573339E+04;  0.112128E+04;  0.383820E-01;  0.800000E+04;  0.150591E+03;  0.276850E+00; -0.447426E+03;  0.000000E+00; -0.447149E+03
  0.570918E+04;  0.112117E+04;  0.393107E-01;  0.800000E+04;  0.150591E+03;  0.276449E+00; -0.447318E+03;  0.000000E+00; -0.447042E+03
  0.574761E+04;  0.112391E+04;  0.430939E-01;  0.800000E+04;  0.150591E+03;  0.274717E+00; -0.447421E+03;  0.000000E+00; -0.447146E+03
  0.571107E+04;  0.112965E+04;  0.425093E-01;  0.800000E+04;  0.150591E+03;  0.274995E+00; -0.447018E+03;  0.000000E+00; -0.446743E+03
  0.558619E+04;  0.112144E+04;  0.374083E-01;  0.800000E+04;  0.150591E+03;  0.277260E+00; -0.447226E+03;  0.000000E+00; -0.446949E+03
  0.552924E+04;  0.110626E+04;  0.308538E-01;  0.800000E+04;  0.150591E+03;  0.279746E+00; -0.447947E+03;  0.000000E+00; -0.447667E+03
  0.559851E+04;  0.110776E+04;  0.298292E-01;  0.800000E+04;  0.150591E+03;  0.280091E+00; -0.447616E+03;  0.000000E+00; -0.447336E+03
  0.551166E+04;  0.109566E+04;  0.296889E-01;  0.800000E+04;  0.150591E+03;  0.280137E+00; -0.448491E+03;  0.000000E+00; -0.448210E+03
  0.552430E+04;  0.111935E+04;  0.243907E-01;  0.800000E+04;  0.150591E+03;  0.281729E+00; -0.447283E+03;  0.000000E+00; -0.447002E+03
  0.550487E+04;  0.112623E+04;  0.163939E-01;  0.800000E+04;  0.150591E+03;  0.283541E+00; -0.446957E+03;  0.000000E+00; -0.446674E+03
  0.562384E+04;  0.114140E+04;  0.192144E-01;  0.800000E+04;  0.150591E+03;  0.282983E+00; -0.446225E+03;  0.000000E+00; -0.445942E+03
