"Pr" "Mp" "Q_2" "Q_9"
1.01 3445.227 2429.855 3891.253
1.011 3478.256 2476.384 3916.921
1.012 3508.972 2519.841 3940.872
1.013 3537.722 2560.785 3963.679
1.014 3564.776 2598.402 3984.906
1.015 3590.353 2634.101 4005.488
1.016 3614.63 2668.673 4025.066
1.017 3637.753 2700.698 4043.647
1.018 3659.846 2731.342 4061.667
1.019 3681.01 2760.968 4078.727
1.02 3701.334 2788.941 4095.339
1.021 3720.895 2815.98 4111.314
1.022 3739.758 2841.983 4126.648
1.024 3757.98 2866.731 4141.69
1.025 3775.612 2890.984 4156.631
1.026 3792.698 2914.156 4171.226
1.027 3809.278 2937.142 4185.565
1.028 3825.387 2959.052 4199.373
1.029 3841.057 2980.224 4212.589
1.03 3856.317 3001.304 4225.751
1.031 3871.191 3021.636 4238.568
1.032 3885.703 3041 4251.065
1.033 3899.875 3060.409 4263.332
1.034 3913.726 3078.826 4275.425
1.035 3927.273 3096.694 4287.03
1.036 3940.533 3114.401 4298.642
1.037 3953.52 3132.066 4310.016
1.038 3966.248 3148.984 4321.099
1.04 3978.731 3165.791 4331.79
1.041 3990.979 3182.292 4342.445
1.042 4003.004 3198.445 4352.975
1.043 4014.816 3214.127 4363.332
1.044 4026.425 3229.936 4373.498
1.045 4037.838 3245.273 4383.785
1.046 4049.065 3260.448 4393.821
1.047 4060.113 3274.66 4403.599
1.048 4070.99 3288.961 4413.227
1.049 4081.702 3303.186 4422.892
1.05 4092.255 3317.246 4432.369
1.052 4102.656 3330.899 4441.755
1.053 4112.91 3344.46 4451.079
1.054 4123.023 3357.579 4460.203
1.055 4133 3370.945 4469.328
1.056 4142.845 3383.718 4478.032
1.057 4152.563 3396.418 4486.947
1.058 4162.159 3408.925 4495.804
1.059 4171.636 3421.187 4504.429
1.06 4180.998 3433.618 4512.823
1.062 4190.249 3445.48 4521.254
1.063 4199.393 3457.463 4529.463
1.064 4208.433 3469.156 4537.664
1.065 4217.371 3480.718 4545.754
1.066 4226.212 3492.297 4553.958
1.067 4234.958 3503.66 4561.955
1.068 4243.611 3514.722 4569.929
1.07 4252.175 3525.693 4577.855
1.071 4260.651 3536.526 4585.651
1.072 4269.043 3547.442 4593.532
1.073 4277.352 3558.167 4601.235
1.074 4285.582 3568.689 4608.829
1.075 4293.733 3579.052 4616.454
1.076 4301.809 3589.302 4624.139
1.078 4309.81 3599.717 4631.737
1.079 4317.739 3609.9 4639.363
