"Pr" "Mp" "Q_2" "Q_9"
1.01 3031.448 2634.714 3343.839
1.011 3060.467 2668.377 3369.86
1.012 3087.478 2699.547 3394.162
1.013 3112.782 2728.577 3416.93
1.014 3136.613 2756.294 3438.296
1.015 3159.159 2782.325 3458.477
1.016 3180.574 2807.061 3477.804
1.017 3200.986 2830.683 3496.123
1.018 3220.5 2853.091 3513.93
1.019 3239.206 2874.765 3530.822
1.02 3257.18 2895.416 3547.065
1.021 3274.489 2915.213 3562.792
1.022 3291.189 2934.385 3578.106
1.024 3307.331 2952.944 3592.865
1.025 3322.958 2970.868 3607.103
1.026 3338.109 2988.109 3620.896
1.027 3352.818 3004.85 3634.274
1.028 3367.117 3021.116 3647.397
1.029 3381.032 3036.931 3659.99
1.03 3394.588 3052.383 3672.399
1.031 3407.808 3067.383 3684.537
1.032 3420.712 3081.978 3696.323
1.033 3433.318 3096.266 3707.932
1.034 3445.644 3110.302 3719.273
1.035 3457.704 3123.883 3730.188
1.036 3469.513 3137.255 3741.009
1.037 3481.083 3150.383 3751.65
1.038 3492.428 3163.313 3762.049
1.04 3503.557 3175.861 3772.31
1.041 3514.482 3188.256 3782.336
1.042 3525.211 3200.438 3792.299
1.043 3535.754 3212.355 3802.035
1.044 3546.118 3224.029 3811.47
1.045 3556.312 3235.524 3820.88
1.046 3566.343 3246.799 3830.1
1.047 3576.217 3257.858 3839.236
1.048 3585.94 3268.698 3848.257
1.049 3595.52 3279.582 3857.118
1.05 3604.961 3290.221 3865.787
1.052 3614.268 3300.589 3874.427
1.053 3623.447 3310.943 3882.905
1.054 3632.502 3321.029 3891.388
1.055 3641.438 3330.979 3899.575
1.056 3650.258 3340.915 3907.747
1.057 3658.968 3350.712 3915.802
1.058 3667.569 3360.351 3923.784
1.059 3676.067 3369.853 3931.666
1.06 3684.464 3379.295 3939.47
1.062 3692.764 3388.424 3947.143
1.063 3700.97 3397.581 3954.76
1.064 3709.085 3406.774 3962.305
1.065 3717.111 3415.738 3969.766
1.066 3725.051 3424.589 3977.179
1.067 3732.908 3433.402 3984.457
1.068 3740.683 3442.068 3991.654
1.07 3748.381 3450.691 3998.699
1.071 3756.001 3459.237 4005.776
1.072 3763.548 3467.649 4012.815
1.073 3771.022 3475.962 4019.793
1.074 3778.427 3484.223 4026.682
1.075 3785.762 3492.448 4033.501
1.076 3793.032 3500.599 4040.364
1.078 3800.236 3508.582 4047.045
1.079 3807.377 3516.499 4053.695
1.08 3814.456 3524.342 4060.26
1.081 3821.476 3532.118 4066.811
1.082 3828.436 3539.824 4073.328
1.083 3835.34 3547.487 4079.815
1.085 3842.188 3555.068 4086.212
1.086 3848.981 3562.589 4092.594
1.087 3855.721 3570.041 4098.923
1.088 3862.41 3577.425 4105.181
1.089 3869.047 3584.882 4111.397
1.091 3875.635 3592.237 4117.584
1.092 3882.174 3599.443 4123.711
1.093 3888.666 3606.59 4129.846
1.094 3895.111 3613.728 4135.895
1.095 3901.511 3620.758 4141.903
1.096 3907.867 3627.818 4147.815
1.098 3914.179 3634.746 4153.671
1.099 3920.448 3641.688 4159.634
1.1 3926.676 3648.572 4165.441
1.101 3932.863 3655.433 4171.221
1.103 3939.01 3662.185 4176.995
1.104 3945.117 3668.867 4182.72
1.105 3951.186 3675.585 4188.411
1.106 3957.218 3682.193 4194.056
1.107 3963.213 3688.869 4199.733
1.109 3969.171 3695.466 4205.323
1.11 3975.094 3701.977 4210.898
1.111 3980.982 3708.445 4216.394
1.112 3986.836 3714.96 4221.859
1.114 3992.656 3721.382 4227.291
1.115 3998.444 3727.673 4232.757
1.116 4004.199 3734.006 4238.136
1.117 4009.922 3740.282 4243.553
1.119 4015.614 3746.612 4248.904
1.12 4021.276 3752.801 4254.244
1.121 4026.908 3759.007 4259.565
1.122 4032.51 3765.181 4264.876
1.124 4038.083 3771.252 4270.163
1.125 4043.627 3777.375 4275.357
1.126 4049.143 3783.329 4280.646
1.127 4054.632 3789.367 4285.771
1.129 4060.094 3795.292 4290.935
1.13 4065.529 3801.254 4296.118
1.131 4070.938 3807.261 4301.209
1.133 4076.322 3813.149 4306.309
1.134 4081.679 3819.034 4311.378
1.135 4087.012 3824.858 4316.365
1.136 4092.321 3830.595 4321.41
1.138 4097.605 3836.513 4326.371
1.139 4102.866 3842.294 4331.293
1.14 4108.103 3848.052 4336.212
1.142 4113.318 3853.693 4341.125
1.143 4118.509 3859.193 4345.995
1.144 4123.679 3864.786 4350.895
1.145 4128.826 3870.384 4355.79
1.147 4133.952 3875.899 4360.663
1.148 4139.057 3881.406 4365.5
1.149 4144.14 3886.939 4370.356
1.151 4149.203 3892.489 4375.172
1.152 4154.246 3897.911 4379.954
1.153 4159.269 3903.403 4384.718
1.155 4164.272 3908.87 4389.446
1.156 4169.255 3914.319 4394.187
1.157 4174.22 3919.659 4398.865
1.159 4179.165 3924.982 4403.577
1.16 4184.092 3930.287 4408.26
1.161 4189.001 3935.566 4412.97
1.163 4193.891 3940.89 4417.621
1.164 4198.764 3946.221 4422.255
1.166 4203.619 3951.508 4426.83
1.167 4208.457 3956.773 4431.492
1.168 4213.278 3962.045 4436.043
1.17 4218.081 3967.359 4440.658
1.171 4222.869 3972.548 4445.217
1.172 4227.64 3977.657 4449.75
1.174 4232.395 3982.857 4454.294
1.175 4237.133 3988.022 4458.824
1.176 4241.857 3993.14 4463.345
1.178 4246.564 3998.194 4467.787
1.179 4251.257 4003.337 4472.308
1.181 4255.934 4008.393 4476.759
1.182 4260.596 4013.343 4481.224
1.183 4265.244 4018.315 4485.624
1.185 4269.877 4023.309 4490.021
1.186 4274.496 4028.178 4494.465
1.188 4279.101 4033.069 4498.87
1.189 4283.692 4038.107 4503.198
1.19 4288.269 4043.112 4507.579
1.192 4292.833 4048.126 4511.925
1.193 4297.383 4052.971 4516.28
1.195 4301.92 4057.848 4520.577
1.196 4306.443 4062.737 4524.917
1.198 4310.954 4067.604 4529.239
1.199 4315.453 4072.414 4533.517
1.2 4319.938 4077.345 4537.804
1.202 4324.412 4082.231 4542.083
1.203 4328.873 4087.043 4546.307
1.205 4333.322 4091.915 4550.554
1.206 4337.759 4096.711 4554.78
1.208 4342.184 4101.545 4559.003
1.209 4346.597 4106.34 4563.261
1.211 4350.999 4111.134 4567.491
1.212 4355.39 4115.883 4571.706
1.214 4359.769 4120.589 4575.88
1.215 4364.138 4125.335 4580.034
1.217 4368.495 4129.953 4584.166
1.218 4372.841 4134.688 4588.283
1.22 4377.177 4139.367 4592.463
1.221 4381.502 4143.993 4596.634
1.222 4385.817 4148.597 4600.718
1.224 4390.122 4153.267 4604.847
1.225 4394.416 4157.954 4608.952
1.227 4398.7 4162.567 4613.019
1.229 4402.975 4167.106 4617.081
1.23 4407.239 4171.722 4621.254
1.232 4411.494 4176.316 4625.41
1.233 4415.739 4180.935 4629.478
1.235 4419.975 4185.514 4633.514
1.236 4424.201 4190.051 4637.571
1.238 4428.418 4194.578 4641.622
1.239 4432.626 4199.078 4645.613
1.241 4436.825 4203.645 4649.646
1.242 4441.015 4208.176 4653.671
1.244 4445.196 4212.638 4657.638
1.245 4449.368 4217.153 4661.611
1.247 4453.532 4221.603 4665.595
1.248 4457.687 4226.042 4669.555
1.25 4461.834 4230.458 4673.537
1.252 4465.972 4234.924 4677.527
1.253 4470.102 4239.362 4681.485
1.255 4474.224 4243.782 4685.434
1.256 4478.338 4248.143 4689.342
1.258 4482.444 4252.535 4693.253
1.259 4486.543 4256.884 4697.21
1.261 4490.633 4261.301 4701.195
1.263 4494.716 4265.725 4705.16
1.264 4498.791 4270.106 4709.076
1.266 4502.858 4274.412 4712.98
1.267 4506.918 4278.77 4716.891
1.269 4510.971 4282.989 4720.821
1.271 4515.017 4287.294 4724.68
1.272 4519.055 4291.607 4728.569
1.274 4523.086 4295.824 4732.5
1.276 4527.111 4300.12 4736.343
1.277 4531.128 4304.438 4740.251
1.279 4535.139 4308.701 4744.17
1.28 4539.142 4312.964 4748.016
1.282 4543.139 4317.247 4751.867
1.284 4547.13 4321.487 4755.708
1.285 4551.114 4325.715 4759.547
1.287 4555.091 4330.009 4763.334
1.289 4559.062 4334.264 4767.173
1.29 4563.027 4338.493 4770.951
1.292 4566.985 4342.662 4774.794
1.294 4570.937 4346.867 4778.576
1.295 4574.883 4351.042 4782.34
1.297 4578.823 4355.187 4786.122
1.299 4582.757 4359.389 4789.927
1.3 4586.685 4363.582 4793.736
1.302 4590.608 4367.654 4797.506
1.304 4594.524 4371.87 4801.247
1.305 4598.435 4375.96 4804.961
1.307 4602.34 4380.096 4808.697
1.309 4606.24 4384.151 4812.42
1.311 4610.134 4388.32 4816.162
1.312 4614.023 4392.506 4819.899
1.314 4617.906 4396.62 4823.642
1.316 4621.784 4400.678 4827.395
1.318 4625.657 4404.765 4831.124
1.319 4629.524 4408.893 4834.844
1.321 4633.387 4413.012 4838.576
1.323 4637.244 4417.088 4842.329
1.325 4641.096 4421.17 4846.068
