Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.670612E+04;  0.500000E+03;  0.284479E+00; -0.198704E+04;  0.000000E+00; -0.198676E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.670612E+04;  0.500000E+03;  0.283858E+00; -0.196593E+04;  0.000000E+00; -0.196565E+04
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.670612E+04;  0.500000E+03;  0.283739E+00; -0.196549E+04;  0.000000E+00; -0.196520E+04
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.670612E+04;  0.500000E+03;  0.282918E+00; -0.192336E+04;  0.000000E+00; -0.192308E+04
  0.581515E+04;  0.105107E+04;  0.195447E-01;  0.670612E+04;  0.500000E+03;  0.282912E+00; -0.190508E+04;  0.000000E+00; -0.190479E+04
  0.574524E+04;  0.105542E+04;  0.269606E-01;  0.670612E+04;  0.500000E+03;  0.280996E+00; -0.188638E+04;  0.000000E+00; -0.188610E+04
  0.574524E+04;  0.105218E+04;  0.241394E-01;  0.670612E+04;  0.500000E+03;  0.281797E+00; -0.188786E+04;  0.000000E+00; -0.188758E+04
  0.569333E+04;  0.106193E+04;  0.310198E-01;  0.670612E+04;  0.500000E+03;  0.279689E+00; -0.187445E+04;  0.000000E+00; -0.187417E+04
  0.561437E+04;  0.106576E+04;  0.375143E-01;  0.670612E+04;  0.500000E+03;  0.277216E+00; -0.186040E+04;  0.000000E+00; -0.186012E+04
  0.557313E+04;  0.109492E+04;  0.362296E-01;  0.670612E+04;  0.500000E+03;  0.277742E+00; -0.185155E+04;  0.000000E+00; -0.185127E+04
  0.547787E+04;  0.110275E+04;  0.339251E-01;  0.670612E+04;  0.500000E+03;  0.278640E+00; -0.184139E+04;  0.000000E+00; -0.184111E+04
  0.543280E+04;  0.111420E+04;  0.363442E-01;  0.670612E+04;  0.500000E+03;  0.277696E+00; -0.183673E+04;  0.000000E+00; -0.183645E+04
  0.543280E+04;  0.113728E+04;  0.350287E-01;  0.670612E+04;  0.500000E+03;  0.278218E+00; -0.183516E+04;  0.000000E+00; -0.183488E+04
  0.538958E+04;  0.114411E+04;  0.404307E-01;  0.670612E+04;  0.500000E+03;  0.275953E+00; -0.183180E+04;  0.000000E+00; -0.183152E+04
  0.512771E+04;  0.113671E+04;  0.387088E-01;  0.670612E+04;  0.500000E+03;  0.276710E+00; -0.182687E+04;  0.000000E+00; -0.182659E+04
  0.516667E+04;  0.112508E+04;  0.382138E-01;  0.670612E+04;  0.500000E+03;  0.276922E+00; -0.182742E+04;  0.000000E+00; -0.182715E+04
  0.516739E+04;  0.115627E+04;  0.357031E-01;  0.670612E+04;  0.500000E+03;  0.277953E+00; -0.182536E+04;  0.000000E+00; -0.182508E+04
  0.521256E+04;  0.114511E+04;  0.409070E-01;  0.670612E+04;  0.500000E+03;  0.275738E+00; -0.182624E+04;  0.000000E+00; -0.182597E+04
  0.518835E+04;  0.114499E+04;  0.418357E-01;  0.670612E+04;  0.500000E+03;  0.275311E+00; -0.182613E+04;  0.000000E+00; -0.182585E+04
  0.522678E+04;  0.115382E+04;  0.456189E-01;  0.670612E+04;  0.500000E+03;  0.273473E+00; -0.182593E+04;  0.000000E+00; -0.182565E+04
  0.515544E+04;  0.115956E+04;  0.450343E-01;  0.670612E+04;  0.500000E+03;  0.273767E+00; -0.182538E+04;  0.000000E+00; -0.182510E+04
  0.515544E+04;  0.115135E+04;  0.399333E-01;  0.670612E+04;  0.500000E+03;  0.276175E+00; -0.182573E+04;  0.000000E+00; -0.182546E+04
  0.509849E+04;  0.113617E+04;  0.333788E-01;  0.670612E+04;  0.500000E+03;  0.278845E+00; -0.182714E+04;  0.000000E+00; -0.182687E+04
  0.516776E+04;  0.113767E+04;  0.323542E-01;  0.670612E+04;  0.500000E+03;  0.279219E+00; -0.182644E+04;  0.000000E+00; -0.182616E+04
  0.516949E+04;  0.112557E+04;  0.322139E-01;  0.670612E+04;  0.500000E+03;  0.279269E+00; -0.182728E+04;  0.000000E+00; -0.182700E+04
  0.518214E+04;  0.114926E+04;  0.269157E-01;  0.670612E+04;  0.500000E+03;  0.281010E+00; -0.182577E+04;  0.000000E+00; -0.182549E+04
  0.516271E+04;  0.115614E+04;  0.189189E-01;  0.670612E+04;  0.500000E+03;  0.283046E+00; -0.182540E+04;  0.000000E+00; -0.182511E+04
  0.516974E+04;  0.117131E+04;  0.217394E-01;  0.670612E+04;  0.500000E+03;  0.282409E+00; -0.182468E+04;  0.000000E+00; -0.182439E+04
  0.516163E+04;  0.119261E+04;  0.172860E-01;  0.670612E+04;  0.500000E+03;  0.283374E+00; -0.182393E+04;  0.000000E+00; -0.182365E+04
  0.526328E+04;  0.120328E+04;  0.897039E-02;  0.670612E+04;  0.500000E+03;  0.284587E+00; -0.182578E+04;  0.000000E+00; -0.182549E+04
  0.517616E+04;  0.121662E+04;  0.154143E-01;  0.670612E+04;  0.500000E+03;  0.283714E+00; -0.182351E+04;  0.000000E+00; -0.182322E+04
  0.501448E+04;  0.119519E+04;  0.188837E-01;  0.670612E+04;  0.500000E+03;  0.283053E+00; -0.182530E+04;  0.000000E+00; -0.182502E+04
  0.507347E+04;  0.120481E+04;  0.280593E-01;  0.670612E+04;  0.500000E+03;  0.280660E+00; -0.182389E+04;  0.000000E+00; -0.182361E+04
  0.507347E+04;  0.118313E+04;  0.238641E-01;  0.670612E+04;  0.500000E+03;  0.281870E+00; -0.182468E+04;  0.000000E+00; -0.182440E+04
