Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.670612E+04;  0.500000E+03; -0.618081E+01; -0.198704E+04;  0.000000E+00; -0.199322E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.670970E+04;  0.500000E+03; -0.618153E+01; -0.196549E+04;  0.000000E+00; -0.197167E+04
  0.589980E+04;  0.101883E+04;  0.223482E-01;  0.670660E+04;  0.500000E+03; -0.618303E+01; -0.193656E+04;  0.000000E+00; -0.194274E+04
  0.588159E+04;  0.101797E+04;  0.264625E-01;  0.671190E+04;  0.500000E+03; -0.618440E+01; -0.192905E+04;  0.000000E+00; -0.193524E+04
  0.587926E+04;  0.102071E+04;  0.287160E-01;  0.672114E+04;  0.500000E+03; -0.618655E+01; -0.192554E+04;  0.000000E+00; -0.193172E+04
  0.577339E+04;  0.102909E+04;  0.286776E-01;  0.672094E+04;  0.500000E+03; -0.618649E+01; -0.189676E+04;  0.000000E+00; -0.190294E+04
  0.565601E+04;  0.103928E+04;  0.294280E-01;  0.671987E+04;  0.500000E+03; -0.618650E+01; -0.187188E+04;  0.000000E+00; -0.187807E+04
  0.561477E+04;  0.107693E+04;  0.295166E-01;  0.672015E+04;  0.500000E+03; -0.618659E+01; -0.185924E+04;  0.000000E+00; -0.186542E+04
  0.551977E+04;  0.107753E+04;  0.295166E-01;  0.672115E+04;  0.500000E+03; -0.618681E+01; -0.184778E+04;  0.000000E+00; -0.185397E+04
  0.551977E+04;  0.109225E+04;  0.361659E-01;  0.672648E+04;  0.500000E+03; -0.619067E+01; -0.184505E+04;  0.000000E+00; -0.185124E+04
  0.547367E+04;  0.109908E+04;  0.366176E-01;  0.672577E+04;  0.500000E+03; -0.619064E+01; -0.184026E+04;  0.000000E+00; -0.184645E+04
  0.533760E+04;  0.111771E+04;  0.344535E-01;  0.672686E+04;  0.500000E+03; -0.619012E+01; -0.183060E+04;  0.000000E+00; -0.183679E+04
  0.526477E+04;  0.111680E+04;  0.387173E-01;  0.673203E+04;  0.500000E+03; -0.619369E+01; -0.182833E+04;  0.000000E+00; -0.183453E+04
  0.519343E+04;  0.112433E+04;  0.394471E-01;  0.673213E+04;  0.500000E+03; -0.619405E+01; -0.182707E+04;  0.000000E+00; -0.183327E+04
  0.517187E+04;  0.112699E+04;  0.419157E-01;  0.673536E+04;  0.500000E+03; -0.619652E+01; -0.182693E+04;  0.000000E+00; -0.183313E+04
  0.522111E+04;  0.112699E+04;  0.395339E-01;  0.673831E+04;  0.500000E+03; -0.619682E+01; -0.182687E+04;  0.000000E+00; -0.183307E+04
  0.514901E+04;  0.114819E+04;  0.306150E-01;  0.673929E+04;  0.500000E+03; -0.619383E+01; -0.182529E+04;  0.000000E+00; -0.183148E+04
  0.506779E+04;  0.115941E+04;  0.221691E-01;  0.673683E+04;  0.500000E+03; -0.619016E+01; -0.182561E+04;  0.000000E+00; -0.183180E+04
  0.506977E+04;  0.116091E+04;  0.191281E-01;  0.673689E+04;  0.500000E+03; -0.618949E+01; -0.182543E+04;  0.000000E+00; -0.183162E+04
  0.509782E+04;  0.118185E+04;  0.179372E-01;  0.673340E+04;  0.500000E+03; -0.618771E+01; -0.182398E+04;  0.000000E+00; -0.183017E+04
  0.501436E+04;  0.119881E+04;  0.229654E-01;  0.673629E+04;  0.500000E+03; -0.619011E+01; -0.182490E+04;  0.000000E+00; -0.183109E+04
  0.508037E+04;  0.119881E+04;  0.231311E-01;  0.673802E+04;  0.500000E+03; -0.619097E+01; -0.182347E+04;  0.000000E+00; -0.182966E+04
  0.522714E+04;  0.120696E+04;  0.228942E-01;  0.673177E+04;  0.500000E+03; -0.618817E+01; -0.182346E+04;  0.000000E+00; -0.182965E+04
  0.518171E+04;  0.119694E+04;  0.197296E-01;  0.673949E+04;  0.500000E+03; -0.619089E+01; -0.182309E+04;  0.000000E+00; -0.182928E+04
  0.513357E+04;  0.119355E+04;  0.197204E-01;  0.673981E+04;  0.500000E+03; -0.619105E+01; -0.182314E+04;  0.000000E+00; -0.182933E+04
  0.513357E+04;  0.117488E+04;  0.143489E-01;  0.674065E+04;  0.500000E+03; -0.619047E+01; -0.182393E+04;  0.000000E+00; -0.183012E+04
  0.505444E+04;  0.119219E+04;  0.198459E-01;  0.674198E+04;  0.500000E+03; -0.619223E+01; -0.182412E+04;  0.000000E+00; -0.183031E+04
  0.515781E+04;  0.120746E+04;  0.206388E-01;  0.674189E+04;  0.500000E+03; -0.619236E+01; -0.182261E+04;  0.000000E+00; -0.182881E+04
  0.523233E+04;  0.120490E+04;  0.759642E-02;  0.674160E+04;  0.500000E+03; -0.619016E+01; -0.182391E+04;  0.000000E+00; -0.183010E+04
  0.515431E+04;  0.120959E+04;  0.103936E-01;  0.674915E+04;  0.500000E+03; -0.619495E+01; -0.182262E+04;  0.000000E+00; -0.182881E+04
  0.517429E+04;  0.120698E+04;  0.150171E-01;  0.674862E+04;  0.500000E+03; -0.619526E+01; -0.182266E+04;  0.000000E+00; -0.182885E+04
  0.515316E+04;  0.121468E+04;  0.131574E-01;  0.674707E+04;  0.500000E+03; -0.619398E+01; -0.182246E+04;  0.000000E+00; -0.182866E+04
  0.510485E+04;  0.122502E+04;  0.104971E-01;  0.675795E+04;  0.500000E+03; -0.620131E+01; -0.182219E+04;  0.000000E+00; -0.182840E+04
  0.507230E+04;  0.122200E+04;  0.960126E-02;  0.676042E+04;  0.500000E+03; -0.620320E+01; -0.182258E+04;  0.000000E+00; -0.182879E+04
  0.521125E+04;  0.121812E+04;  0.108877E-01;  0.675720E+04;  0.500000E+03; -0.620077E+01; -0.182269E+04;  0.000000E+00; -0.182889E+04
  0.521125E+04;  0.122618E+04;  0.120821E-01;  0.675534E+04;  0.500000E+03; -0.619951E+01; -0.182255E+04;  0.000000E+00; -0.182875E+04
  0.521120E+04;  0.123797E+04;  0.113077E-01;  0.675396E+04;  0.500000E+03; -0.619838E+01; -0.182246E+04;  0.000000E+00; -0.182866E+04
  0.519791E+04;  0.124788E+04;  0.169542E-01;  0.675520E+04;  0.500000E+03; -0.620019E+01; -0.182195E+04;  0.000000E+00; -0.182815E+04
  0.519791E+04;  0.126078E+04;  0.185437E-01;  0.675128E+04;  0.500000E+03; -0.619769E+01; -0.182194E+04;  0.000000E+00; -0.182814E+04
  0.518626E+04;  0.127915E+04;  0.178366E-01;  0.675546E+04;  0.500000E+03; -0.620055E+01; -0.182173E+04;  0.000000E+00; -0.182793E+04
  0.513223E+04;  0.128775E+04;  0.196240E-01;  0.675419E+04;  0.500000E+03; -0.619998E+01; -0.182144E+04;  0.000000E+00; -0.182764E+04
  0.512783E+04;  0.130029E+04;  0.205307E-01;  0.675715E+04;  0.500000E+03; -0.620241E+01; -0.182141E+04;  0.000000E+00; -0.182761E+04
  0.523158E+04;  0.126464E+04;  0.240276E-01;  0.675750E+04;  0.500000E+03; -0.620356E+01; -0.182207E+04;  0.000000E+00; -0.182827E+04
  0.510528E+04;  0.128269E+04;  0.232493E-01;  0.675713E+04;  0.500000E+03; -0.620306E+01; -0.182134E+04;  0.000000E+00; -0.182754E+04
  0.503532E+04;  0.129769E+04;  0.283868E-01;  0.675894E+04;  0.500000E+03; -0.620597E+01; -0.182201E+04;  0.000000E+00; -0.182822E+04
  0.507511E+04;  0.128462E+04;  0.286550E-01;  0.676339E+04;  0.500000E+03; -0.620978E+01; -0.182139E+04;  0.000000E+00; -0.182760E+04
  0.507511E+04;  0.127944E+04;  0.344916E-01;  0.676620E+04;  0.500000E+03; -0.621434E+01; -0.182134E+04;  0.000000E+00; -0.182756E+04
  0.503074E+04;  0.126843E+04;  0.337270E-01;  0.676865E+04;  0.500000E+03; -0.621633E+01; -0.182223E+04;  0.000000E+00; -0.182844E+04
  0.499013E+04;  0.126450E+04;  0.416334E-01;  0.676920E+04;  0.500000E+03; -0.622017E+01; -0.182353E+04;  0.000000E+00; -0.182975E+04
  0.507759E+04;  0.125724E+04;  0.416589E-01;  0.677261E+04;  0.500000E+03; -0.622354E+01; -0.182154E+04;  0.000000E+00; -0.182776E+04
  0.512434E+04;  0.125016E+04;  0.408089E-01;  0.677535E+04;  0.500000E+03; -0.622599E+01; -0.182102E+04;  0.000000E+00; -0.182724E+04
  0.525064E+04;  0.122255E+04;  0.495641E-01;  0.677102E+04;  0.500000E+03; -0.622596E+01; -0.182194E+04;  0.000000E+00; -0.182817E+04
  0.516910E+04;  0.122969E+04;  0.522319E-01;  0.677158E+04;  0.500000E+03; -0.622802E+01; -0.182139E+04;  0.000000E+00; -0.182761E+04
  0.509724E+04;  0.123567E+04;  0.579248E-01;  0.676765E+04;  0.500000E+03; -0.622771E+01; -0.182223E+04;  0.000000E+00; -0.182846E+04
  0.507516E+04;  0.123663E+04;  0.569109E-01;  0.676263E+04;  0.500000E+03; -0.622255E+01; -0.182267E+04;  0.000000E+00; -0.182889E+04
  0.509630E+04;  0.122604E+04;  0.531966E-01;  0.677407E+04;  0.500000E+03; -0.623111E+01; -0.182231E+04;  0.000000E+00; -0.182854E+04
  0.510773E+04;  0.122831E+04;  0.554431E-01;  0.676863E+04;  0.500000E+03; -0.622708E+01; -0.182218E+04;  0.000000E+00; -0.182841E+04
  0.502216E+04;  0.124188E+04;  0.492891E-01;  0.676229E+04;  0.500000E+03; -0.621777E+01; -0.182355E+04;  0.000000E+00; -0.182976E+04
  0.502716E+04;  0.124486E+04;  0.504693E-01;  0.675378E+04;  0.500000E+03; -0.621169E+01; -0.182344E+04;  0.000000E+00; -0.182965E+04
  0.505137E+04;  0.124414E+04;  0.446784E-01;  0.675348E+04;  0.500000E+03; -0.620842E+01; -0.182269E+04;  0.000000E+00; -0.182889E+04
  0.505137E+04;  0.125864E+04;  0.466776E-01;  0.674709E+04;  0.500000E+03; -0.620513E+01; -0.182248E+04;  0.000000E+00; -0.182869E+04
  0.510447E+04;  0.127561E+04;  0.455202E-01;  0.674843E+04;  0.500000E+03; -0.620539E+01; -0.182143E+04;  0.000000E+00; -0.182763E+04
  0.509739E+04;  0.127550E+04;  0.436222E-01;  0.675738E+04;  0.500000E+03; -0.621083E+01; -0.182130E+04;  0.000000E+00; -0.182751E+04
  0.509417E+04;  0.127723E+04;  0.446325E-01;  0.675228E+04;  0.500000E+03; -0.620754E+01; -0.182143E+04;  0.000000E+00; -0.182764E+04
  0.507337E+04;  0.128326E+04;  0.426774E-01;  0.674368E+04;  0.500000E+03; -0.620111E+01; -0.182179E+04;  0.000000E+00; -0.182799E+04
  0.519872E+04;  0.127077E+04;  0.457890E-01;  0.674800E+04;  0.500000E+03; -0.620525E+01; -0.182144E+04;  0.000000E+00; -0.182764E+04
  0.516766E+04;  0.126190E+04;  0.359463E-01;  0.674956E+04;  0.500000E+03; -0.620180E+01; -0.182135E+04;  0.000000E+00; -0.182755E+04
  0.517709E+04;  0.126820E+04;  0.326700E-01;  0.674571E+04;  0.500000E+03; -0.619811E+01; -0.182152E+04;  0.000000E+00; -0.182772E+04
  0.511278E+04;  0.124315E+04;  0.259533E-01;  0.674949E+04;  0.500000E+03; -0.619831E+01; -0.182175E+04;  0.000000E+00; -0.182795E+04
  0.515274E+04;  0.123966E+04;  0.265939E-01;  0.674682E+04;  0.500000E+03; -0.619679E+01; -0.182174E+04;  0.000000E+00; -0.182793E+04
  0.502048E+04;  0.121403E+04;  0.258617E-01;  0.674059E+04;  0.500000E+03; -0.619301E+01; -0.182414E+04;  0.000000E+00; -0.183034E+04
  0.506602E+04;  0.122893E+04;  0.311306E-01;  0.674461E+04;  0.500000E+03; -0.619692E+01; -0.182270E+04;  0.000000E+00; -0.182890E+04
  0.510783E+04;  0.122713E+04;  0.275385E-01;  0.675525E+04;  0.500000E+03; -0.620284E+01; -0.182199E+04;  0.000000E+00; -0.182820E+04
  0.514236E+04;  0.124114E+04;  0.367109E-01;  0.675498E+04;  0.500000E+03; -0.620591E+01; -0.182146E+04;  0.000000E+00; -0.182767E+04
  0.517119E+04;  0.124415E+04;  0.349004E-01;  0.675400E+04;  0.500000E+03; -0.620447E+01; -0.182144E+04;  0.000000E+00; -0.182764E+04
  0.523120E+04;  0.125732E+04;  0.311593E-01;  0.675668E+04;  0.500000E+03; -0.620511E+01; -0.182188E+04;  0.000000E+00; -0.182809E+04
  0.513036E+04;  0.126920E+04;  0.265799E-01;  0.675895E+04;  0.500000E+03; -0.620542E+01; -0.182119E+04;  0.000000E+00; -0.182739E+04
  0.512586E+04;  0.126617E+04;  0.220026E-01;  0.675447E+04;  0.500000E+03; -0.620074E+01; -0.182140E+04;  0.000000E+00; -0.182760E+04
  0.512586E+04;  0.127119E+04;  0.232234E-01;  0.674719E+04;  0.500000E+03; -0.619609E+01; -0.182152E+04;  0.000000E+00; -0.182772E+04
  0.506383E+04;  0.128548E+04;  0.171782E-01;  0.674914E+04;  0.500000E+03; -0.619598E+01; -0.182195E+04;  0.000000E+00; -0.182815E+04
  0.518218E+04;  0.130087E+04;  0.196507E-01;  0.675547E+04;  0.500000E+03; -0.620093E+01; -0.182179E+04;  0.000000E+00; -0.182799E+04
  0.520235E+04;  0.127601E+04;  0.178493E-01;  0.675408E+04;  0.500000E+03; -0.619953E+01; -0.182195E+04;  0.000000E+00; -0.182815E+04
  0.520235E+04;  0.128281E+04;  0.150199E-01;  0.675659E+04;  0.500000E+03; -0.620089E+01; -0.182202E+04;  0.000000E+00; -0.182822E+04
  0.510826E+04;  0.128856E+04;  0.229635E-01;  0.676331E+04;  0.500000E+03; -0.620808E+01; -0.182119E+04;  0.000000E+00; -0.182740E+04
  0.514516E+04;  0.127388E+04;  0.108185E-01;  0.677027E+04;  0.500000E+03; -0.621222E+01; -0.182129E+04;  0.000000E+00; -0.182750E+04
  0.525921E+04;  0.126185E+04;  0.145399E-01;  0.677349E+04;  0.500000E+03; -0.621597E+01; -0.182251E+04;  0.000000E+00; -0.182873E+04
  0.525921E+04;  0.124784E+04;  0.907748E-02;  0.677151E+04;  0.500000E+03; -0.621326E+01; -0.182289E+04;  0.000000E+00; -0.182910E+04
  0.520355E+04;  0.122545E+04;  0.106412E-01;  0.676515E+04;  0.500000E+03; -0.620740E+01; -0.182225E+04;  0.000000E+00; -0.182846E+04
  0.510378E+04;  0.123105E+04;  0.171763E-01;  0.676234E+04;  0.500000E+03; -0.620595E+01; -0.182189E+04;  0.000000E+00; -0.182810E+04
  0.515229E+04;  0.125494E+04;  0.152750E-01;  0.677025E+04;  0.500000E+03; -0.621285E+01; -0.182126E+04;  0.000000E+00; -0.182747E+04
  0.513992E+04;  0.126843E+04;  0.116933E-01;  0.675971E+04;  0.500000E+03; -0.620287E+01; -0.182152E+04;  0.000000E+00; -0.182772E+04
  0.506608E+04;  0.126690E+04;  0.116655E-01;  0.676399E+04;  0.500000E+03; -0.620650E+01; -0.182182E+04;  0.000000E+00; -0.182803E+04
  0.498680E+04;  0.129134E+04;  0.113430E-01;  0.676216E+04;  0.500000E+03; -0.620487E+01; -0.182311E+04;  0.000000E+00; -0.182932E+04
  0.499512E+04;  0.127406E+04;  0.161608E-02;  0.676440E+04;  0.500000E+03; -0.620612E+01; -0.182315E+04;  0.000000E+00; -0.182935E+04
  0.496655E+04;  0.126546E+04;  0.716133E-03;  0.676482E+04;  0.500000E+03; -0.620648E+01; -0.182396E+04;  0.000000E+00; -0.183017E+04
  0.503540E+04;  0.128513E+04;  0.102020E-02;  0.676616E+04;  0.500000E+03; -0.620770E+01; -0.182233E+04;  0.000000E+00; -0.182854E+04
  0.515739E+04;  0.127091E+04;  0.770981E-02;  0.676373E+04;  0.500000E+03; -0.620585E+01; -0.182161E+04;  0.000000E+00; -0.182782E+04
  0.515726E+04;  0.127167E+04;  0.127076E-01;  0.676120E+04;  0.500000E+03; -0.620424E+01; -0.182150E+04;  0.000000E+00; -0.182771E+04
  0.506263E+04;  0.127602E+04;  0.171728E-01;  0.675409E+04;  0.500000E+03; -0.619941E+01; -0.182190E+04;  0.000000E+00; -0.182810E+04
  0.509143E+04;  0.130481E+04;  0.160990E-01;  0.676459E+04;  0.500000E+03; -0.620772E+01; -0.182147E+04;  0.000000E+00; -0.182767E+04
