Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.670612E+04;  0.500000E+03; -0.618081E+01; -0.200902E+04;  0.000000E+00; -0.201520E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.670970E+04;  0.500000E+03; -0.618153E+01; -0.198535E+04;  0.000000E+00; -0.199154E+04
  0.589980E+04;  0.101883E+04;  0.223482E-01;  0.670660E+04;  0.500000E+03; -0.618303E+01; -0.195449E+04;  0.000000E+00; -0.196067E+04
  0.588159E+04;  0.101797E+04;  0.264625E-01;  0.671190E+04;  0.500000E+03; -0.618440E+01; -0.194651E+04;  0.000000E+00; -0.195269E+04
  0.587926E+04;  0.102071E+04;  0.287160E-01;  0.672114E+04;  0.500000E+03; -0.618655E+01; -0.194269E+04;  0.000000E+00; -0.194888E+04
  0.577339E+04;  0.102909E+04;  0.286776E-01;  0.672094E+04;  0.500000E+03; -0.618649E+01; -0.191214E+04;  0.000000E+00; -0.191832E+04
  0.565601E+04;  0.103928E+04;  0.294280E-01;  0.671987E+04;  0.500000E+03; -0.618650E+01; -0.188550E+04;  0.000000E+00; -0.189168E+04
  0.561477E+04;  0.107693E+04;  0.295166E-01;  0.672015E+04;  0.500000E+03; -0.618659E+01; -0.187124E+04;  0.000000E+00; -0.187742E+04
  0.551977E+04;  0.107753E+04;  0.295166E-01;  0.672115E+04;  0.500000E+03; -0.618681E+01; -0.185894E+04;  0.000000E+00; -0.186513E+04
  0.551977E+04;  0.109225E+04;  0.361659E-01;  0.672648E+04;  0.500000E+03; -0.619067E+01; -0.185580E+04;  0.000000E+00; -0.186199E+04
  0.547367E+04;  0.109908E+04;  0.366176E-01;  0.672577E+04;  0.500000E+03; -0.619064E+01; -0.185051E+04;  0.000000E+00; -0.185670E+04
  0.533760E+04;  0.111771E+04;  0.344535E-01;  0.672686E+04;  0.500000E+03; -0.619012E+01; -0.183958E+04;  0.000000E+00; -0.184577E+04
  0.526477E+04;  0.111680E+04;  0.387173E-01;  0.673203E+04;  0.500000E+03; -0.619369E+01; -0.183693E+04;  0.000000E+00; -0.184312E+04
  0.519343E+04;  0.112433E+04;  0.353886E-01;  0.673213E+04;  0.500000E+03; -0.619236E+01; -0.183506E+04;  0.000000E+00; -0.184125E+04
  0.517187E+04;  0.112699E+04;  0.378572E-01;  0.673536E+04;  0.500000E+03; -0.619472E+01; -0.183475E+04;  0.000000E+00; -0.184095E+04
  0.522111E+04;  0.112699E+04;  0.354754E-01;  0.673831E+04;  0.500000E+03; -0.619513E+01; -0.183500E+04;  0.000000E+00; -0.184120E+04
  0.514901E+04;  0.114819E+04;  0.265565E-01;  0.673929E+04;  0.500000E+03; -0.619254E+01; -0.183264E+04;  0.000000E+00; -0.183883E+04
  0.506779E+04;  0.115941E+04;  0.181106E-01;  0.673683E+04;  0.500000E+03; -0.618925E+01; -0.183233E+04;  0.000000E+00; -0.183851E+04
  0.506977E+04;  0.116091E+04;  0.150696E-01;  0.673689E+04;  0.500000E+03; -0.618872E+01; -0.183214E+04;  0.000000E+00; -0.183833E+04
  0.509782E+04;  0.118185E+04;  0.138787E-01;  0.673340E+04;  0.500000E+03; -0.618699E+01; -0.183063E+04;  0.000000E+00; -0.183681E+04
  0.501436E+04;  0.119881E+04;  0.189069E-01;  0.673629E+04;  0.500000E+03; -0.618917E+01; -0.183095E+04;  0.000000E+00; -0.183714E+04
  0.508037E+04;  0.119881E+04;  0.190726E-01;  0.673802E+04;  0.500000E+03; -0.619002E+01; -0.182985E+04;  0.000000E+00; -0.183604E+04
  0.522714E+04;  0.120696E+04;  0.188357E-01;  0.673177E+04;  0.500000E+03; -0.618723E+01; -0.183056E+04;  0.000000E+00; -0.183674E+04
  0.518171E+04;  0.119694E+04;  0.156711E-01;  0.673949E+04;  0.500000E+03; -0.619010E+01; -0.183004E+04;  0.000000E+00; -0.183623E+04
  0.513357E+04;  0.119355E+04;  0.156619E-01;  0.673981E+04;  0.500000E+03; -0.619025E+01; -0.182985E+04;  0.000000E+00; -0.183604E+04
  0.511801E+04;  0.118149E+04;  0.102904E-01;  0.674065E+04;  0.500000E+03; -0.618992E+01; -0.183048E+04;  0.000000E+00; -0.183667E+04
  0.500435E+04;  0.119881E+04;  0.157874E-01;  0.674198E+04;  0.500000E+03; -0.619143E+01; -0.183106E+04;  0.000000E+00; -0.183725E+04
  0.510772E+04;  0.121408E+04;  0.165803E-01;  0.674189E+04;  0.500000E+03; -0.619152E+01; -0.182897E+04;  0.000000E+00; -0.183516E+04
  0.518224E+04;  0.121151E+04;  0.353792E-02;  0.674160E+04;  0.500000E+03; -0.618991E+01; -0.182980E+04;  0.000000E+00; -0.183599E+04
  0.510422E+04;  0.121620E+04;  0.633506E-02;  0.674915E+04;  0.500000E+03; -0.619457E+01; -0.182888E+04;  0.000000E+00; -0.183507E+04
  0.512420E+04;  0.121360E+04;  0.109586E-01;  0.674862E+04;  0.500000E+03; -0.619467E+01; -0.182890E+04;  0.000000E+00; -0.183509E+04
  0.519506E+04;  0.122130E+04;  0.909890E-02;  0.674707E+04;  0.500000E+03; -0.619348E+01; -0.182935E+04;  0.000000E+00; -0.183555E+04
  0.508621E+04;  0.123164E+04;  0.643856E-02;  0.675795E+04;  0.500000E+03; -0.620093E+01; -0.182828E+04;  0.000000E+00; -0.183448E+04
  0.505366E+04;  0.122861E+04;  0.554276E-02;  0.676042E+04;  0.500000E+03; -0.620286E+01; -0.182863E+04;  0.000000E+00; -0.183483E+04
  0.519262E+04;  0.122474E+04;  0.682924E-02;  0.675720E+04;  0.500000E+03; -0.620037E+01; -0.182903E+04;  0.000000E+00; -0.183523E+04
  0.519262E+04;  0.123280E+04;  0.802356E-02;  0.675534E+04;  0.500000E+03; -0.619905E+01; -0.182882E+04;  0.000000E+00; -0.183502E+04
  0.519256E+04;  0.124459E+04;  0.724925E-02;  0.675396E+04;  0.500000E+03; -0.619796E+01; -0.182863E+04;  0.000000E+00; -0.183483E+04
  0.517927E+04;  0.125450E+04;  0.128957E-01;  0.675520E+04;  0.500000E+03; -0.619951E+01; -0.182805E+04;  0.000000E+00; -0.183424E+04
  0.517927E+04;  0.126740E+04;  0.144852E-01;  0.675128E+04;  0.500000E+03; -0.619694E+01; -0.182795E+04;  0.000000E+00; -0.183414E+04
  0.516762E+04;  0.128576E+04;  0.137781E-01;  0.675546E+04;  0.500000E+03; -0.619983E+01; -0.182758E+04;  0.000000E+00; -0.183378E+04
  0.511359E+04;  0.129437E+04;  0.155655E-01;  0.675419E+04;  0.500000E+03; -0.619919E+01; -0.182717E+04;  0.000000E+00; -0.183337E+04
  0.510920E+04;  0.130691E+04;  0.164722E-01;  0.675715E+04;  0.500000E+03; -0.620158E+01; -0.182706E+04;  0.000000E+00; -0.183327E+04
  0.521294E+04;  0.127126E+04;  0.199691E-01;  0.675750E+04;  0.500000E+03; -0.620257E+01; -0.182812E+04;  0.000000E+00; -0.183432E+04
  0.508664E+04;  0.128931E+04;  0.191908E-01;  0.675713E+04;  0.500000E+03; -0.620210E+01; -0.182710E+04;  0.000000E+00; -0.183330E+04
