c.Spags...spag...length.CX.An..	iVar	cType	cWidth
7382.2	1	0	0
5270.77	1	0	0
5358.68	1	0	0
6416.26	1	0	0
6099.71	1	0	0
6589.01	1	0	0
3600.65	1	0	0
6760.52	1	0	0
6633.15	1	0	0
9690.42	1	0	0
5590.58	1	0	0
8344.21	1	0	0
5007.82	1	0	0
7371.61	1	0	0
5958.81	1	0	0
6025.51	1	0	0
4481.2	1	0	0
4563.44	1	0	0
6724.84	1	0	0
4854.91	1	0	0
11793.1	1	0	0
4637.21	1	0	0
5535.73	1	0	0
7664.28	1	0	0
13356.3	1	0	0
8829.68	1	0	0
7360.95	1	0	0
9116.67	1	0	0
6369.28	1	0	0
5981	1	0	0
8262.19	1	0	0
6856.36	1	0	0
7313.5	1	0	0
5670.06	1	0	0
4214.81	1	0	0
5608.4	1	0	0
6379.5	1	0	0
7159.7	1	0	0
5175.28	1	0	0
7274.44	1	0	0
13181.3	1	0	0
4718.1	1	0	0
4582.63	1	0	0
4749.83	1	0	0
4494.09	1	0	0
3817.34	1	0	0
4562.55	1	0	0
5822.6	1	0	0
6512.09	1	0	0
4982.02	1	0	0
4629.27	1	0	0
4543.65	1	0	0
5606.8	1	0	0
3309.5	1	0	0
4716.92	1	0	0
3370.85	1	0	0
7889.33	1	0	0
5942.28	1	0	0
3217.04	1	0	0
4060.36	1	0	0
4585.78	1	0	0
5585.6	1	0	0
4868.85	1	0	0
5515.65	1	0	0
3501.06	1	0	0
3130.53	1	0	0
7514.48	1	0	0
5254.98	1	0	0
3051.26	1	0	0
4852.56	1	0	0
9222.15	1	0	0
5179.87	1	0	0
8341.71	1	0	0
8959.45	1	0	0
7345.97	1	0	0
8003.08	1	0	0
6036.78	1	0	0
4812.66	1	0	0
4810.67	1	0	0
5838.8	1	0	0
9381.28	1	0	0
6221.71	1	0	0
5800.83	1	0	0
5926.44	1	0	0
9482.99	1	0	0
6759.02	1	0	0
6592.35	1	0	0
6728.65	1	0	0
5884.65	1	0	0
4911.69	1	0	0
6342.6	1	0	0
9218.48	1	0	0
4363.37	1	0	0
4791.54	1	0	0
9432.66	1	0	0
4470.82	1	0	0
4618.68	1	0	0
6160.65	1	0	0
7349.61	1	0	0
5286.64	1	0	0
5600.15	1	0	0
8063.59	1	0	0
5988.7	1	0	0
8279.25	1	0	0
4576.47	1	0	0
1942.09	1	0	0
5355.44	1	0	0
7128.1	1	0	0
7630.83	1	0	0
6371.77	1	0	0
7355.5	1	0	0
5418.19	1	0	0
7339.16	1	0	0
3495.66	1	0	0
6448.25	1	0	0
6017.25	1	0	0
6025.21	1	0	0
7351.9	1	0	0
4836.66	1	0	0
10063.5	1	0	0
8056.85	1	0	0
6459.44	1	0	0
4609.86	1	0	0
5046.77	1	0	0
5902.19	1	0	0
6282.14	1	0	0
5427.22	1	0	0
5347.37	1	0	0
6924.74	1	0	0
5061.78	1	0	0
4326.99	1	0	0
5399.36	1	0	0
6901.45	1	0	0
5130.6	1	0	0
5633.49	1	0	0
9583.03	1	0	0
5018.34	1	0	0
5259.74	1	0	0
7566.26	1	0	0
7436.15	1	0	0
5492.81	1	0	0
5981.85	1	0	0
8277.1	1	0	0
6460.18	1	0	0
8267.36	1	0	0
5854.48	1	0	0
4404.6	1	0	0
7905.78	1	0	0
6168.89	1	0	0
5076.56	1	0	0
5289.91	1	0	0
3974.68	1	0	0
4757.33	1	0	0
4886.8	1	0	0
5176.53	1	0	0
5410.55	1	0	0
5918.13	1	0	0
5255.22	1	0	0
3833.5	1	0	0
3469.91	1	0	0
8433.68	1	0	0
7353.29	1	0	0
7610.99	1	0	0
6591.61	1	0	0
4656.88	1	0	0
6013.8	1	0	0
7827.21	1	0	0
6646.55	1	0	0
5512.8	1	0	0
4379.28	1	0	0
6764.47	1	0	0
6359.32	1	0	0
6697.75	1	0	0
5247.27	1	0	0
5169.03	1	0	0
5183.74	1	0	0
5595.95	1	0	0
9190.99	1	0	0
9788.68	1	0	0
6627.01	1	0	0
8639.4	1	0	0
7715.9	1	0	0
4264.18	1	0	0
6186.77	1	0	0
6881.99	1	0	0
6808.42	1	0	0
9812.28	1	0	0
11315.9	1	0	0
5876.98	1	0	0
4105.16	1	0	0
5490.6	1	0	0
4180.81	1	0	0
6920.93	1	0	0
6731.11	1	0	0
6103.15	1	0	0
7269.02	1	0	0
5198.05	1	0	0
7243.95	1	0	0
7534.98	1	0	0
4532.66	1	0	0
8683.2	1	0	0
4373.76	1	0	0
6276.84	1	0	0
7112.91	1	0	0
4488.6	1	0	0
94	2	0	0
