Pos;Ech;Form;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.284479E+00; -0.195891E+04;  0.000000E+00; -0.195862E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.283858E+00; -0.193765E+04;  0.000000E+00; -0.193736E+04
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.283739E+00; -0.193716E+04;  0.000000E+00; -0.193688E+04
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.282918E+00; -0.190358E+04;  0.000000E+00; -0.190329E+04
  0.581515E+04;  0.105107E+04;  0.195447E-01;  0.282912E+00; -0.188666E+04;  0.000000E+00; -0.188637E+04
  0.574524E+04;  0.105542E+04;  0.269606E-01;  0.280996E+00; -0.187278E+04;  0.000000E+00; -0.187250E+04
  0.574524E+04;  0.105218E+04;  0.241394E-01;  0.281797E+00; -0.187461E+04;  0.000000E+00; -0.187433E+04
  0.569333E+04;  0.106193E+04;  0.310198E-01;  0.279689E+00; -0.186371E+04;  0.000000E+00; -0.186343E+04
  0.561437E+04;  0.106576E+04;  0.375143E-01;  0.277216E+00; -0.185409E+04;  0.000000E+00; -0.185382E+04
  0.557313E+04;  0.109492E+04;  0.362296E-01;  0.277742E+00; -0.184477E+04;  0.000000E+00; -0.184449E+04
  0.547787E+04;  0.110275E+04;  0.339251E-01;  0.278640E+00; -0.183829E+04;  0.000000E+00; -0.183801E+04
  0.543280E+04;  0.111420E+04;  0.363442E-01;  0.277696E+00; -0.183462E+04;  0.000000E+00; -0.183435E+04
  0.543280E+04;  0.113728E+04;  0.350287E-01;  0.278218E+00; -0.183140E+04;  0.000000E+00; -0.183113E+04
  0.538958E+04;  0.114411E+04;  0.404307E-01;  0.275953E+00; -0.182940E+04;  0.000000E+00; -0.182913E+04
  0.532328E+04;  0.113671E+04;  0.387088E-01;  0.276710E+00; -0.182932E+04;  0.000000E+00; -0.182905E+04
  0.525046E+04;  0.113234E+04;  0.382138E-01;  0.276922E+00; -0.182951E+04;  0.000000E+00; -0.182924E+04
  0.530245E+04;  0.116352E+04;  0.357031E-01;  0.277953E+00; -0.182623E+04;  0.000000E+00; -0.182595E+04
  0.534762E+04;  0.116352E+04;  0.409070E-01;  0.275738E+00; -0.182661E+04;  0.000000E+00; -0.182634E+04
  0.532341E+04;  0.116745E+04;  0.418357E-01;  0.275311E+00; -0.182603E+04;  0.000000E+00; -0.182576E+04
  0.536184E+04;  0.117628E+04;  0.456189E-01;  0.273473E+00; -0.182552E+04;  0.000000E+00; -0.182525E+04
  0.529051E+04;  0.118202E+04;  0.450343E-01;  0.273767E+00; -0.182465E+04;  0.000000E+00; -0.182438E+04
  0.516562E+04;  0.117381E+04;  0.399333E-01;  0.276175E+00; -0.182627E+04;  0.000000E+00; -0.182599E+04
