Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.764918E+04;  0.500000E+03;  0.284479E+00; -0.198865E+04;  0.000000E+00; -0.198837E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.764918E+04;  0.500000E+03;  0.283858E+00; -0.196707E+04;  0.000000E+00; -0.196679E+04
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.764918E+04;  0.500000E+03;  0.283739E+00; -0.196652E+04;  0.000000E+00; -0.196624E+04
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.764918E+04;  0.500000E+03;  0.282918E+00; -0.192765E+04;  0.000000E+00; -0.192736E+04
  0.581515E+04;  0.105107E+04;  0.195447E-01;  0.764918E+04;  0.500000E+03;  0.282912E+00; -0.191013E+04;  0.000000E+00; -0.190985E+04
  0.574524E+04;  0.105542E+04;  0.269606E-01;  0.764918E+04;  0.500000E+03;  0.280996E+00; -0.189270E+04;  0.000000E+00; -0.189242E+04
  0.574524E+04;  0.105218E+04;  0.284352E-01;  0.764918E+04;  0.500000E+03;  0.280542E+00; -0.189298E+04;  0.000000E+00; -0.189270E+04
  0.569333E+04;  0.106193E+04;  0.353156E-01;  0.764918E+04;  0.500000E+03;  0.278105E+00; -0.188041E+04;  0.000000E+00; -0.188013E+04
  0.561437E+04;  0.106576E+04;  0.418101E-01;  0.764918E+04;  0.500000E+03;  0.275323E+00; -0.186786E+04;  0.000000E+00; -0.186758E+04
  0.557313E+04;  0.109492E+04;  0.405254E-01;  0.764918E+04;  0.500000E+03;  0.275910E+00; -0.185929E+04;  0.000000E+00; -0.185901E+04
  0.547787E+04;  0.110275E+04;  0.382210E-01;  0.764918E+04;  0.500000E+03;  0.276918E+00; -0.185045E+04;  0.000000E+00; -0.185018E+04
  0.543280E+04;  0.111420E+04;  0.406400E-01;  0.764918E+04;  0.500000E+03;  0.275859E+00; -0.184606E+04;  0.000000E+00; -0.184579E+04
  0.543280E+04;  0.113728E+04;  0.393246E-01;  0.764918E+04;  0.500000E+03;  0.276443E+00; -0.184431E+04;  0.000000E+00; -0.184403E+04
  0.538958E+04;  0.114411E+04;  0.447265E-01;  0.764918E+04;  0.500000E+03;  0.273921E+00; -0.184115E+04;  0.000000E+00; -0.184088E+04
  0.512771E+04;  0.113671E+04;  0.430047E-01;  0.764918E+04;  0.500000E+03;  0.274760E+00; -0.183638E+04;  0.000000E+00; -0.183611E+04
  0.516667E+04;  0.112508E+04;  0.425096E-01;  0.764918E+04;  0.500000E+03;  0.274995E+00; -0.183716E+04;  0.000000E+00; -0.183688E+04
  0.516739E+04;  0.115627E+04;  0.399990E-01;  0.764918E+04;  0.500000E+03;  0.276146E+00; -0.183513E+04;  0.000000E+00; -0.183485E+04
  0.521256E+04;  0.114511E+04;  0.452029E-01;  0.764918E+04;  0.500000E+03;  0.273683E+00; -0.183608E+04;  0.000000E+00; -0.183580E+04
  0.518835E+04;  0.114499E+04;  0.461315E-01;  0.764918E+04;  0.500000E+03;  0.273211E+00; -0.183590E+04;  0.000000E+00; -0.183562E+04
  0.522678E+04;  0.115382E+04;  0.499148E-01;  0.764918E+04;  0.500000E+03;  0.271193E+00; -0.183572E+04;  0.000000E+00; -0.183545E+04
  0.515544E+04;  0.115956E+04;  0.493302E-01;  0.764918E+04;  0.500000E+03;  0.271515E+00; -0.183502E+04;  0.000000E+00; -0.183475E+04
  0.503056E+04;  0.115135E+04;  0.442292E-01;  0.764918E+04;  0.500000E+03;  0.274166E+00; -0.183677E+04;  0.000000E+00; -0.183649E+04
  0.504030E+04;  0.113617E+04;  0.376746E-01;  0.764918E+04;  0.500000E+03;  0.277149E+00; -0.183731E+04;  0.000000E+00; -0.183703E+04
  0.510957E+04;  0.113767E+04;  0.366500E-01;  0.764918E+04;  0.500000E+03;  0.277572E+00; -0.183629E+04;  0.000000E+00; -0.183602E+04
  0.511130E+04;  0.112557E+04;  0.365098E-01;  0.764918E+04;  0.500000E+03;  0.277629E+00; -0.183714E+04;  0.000000E+00; -0.183686E+04
  0.512394E+04;  0.114926E+04;  0.312115E-01;  0.764918E+04;  0.500000E+03;  0.279622E+00; -0.183550E+04;  0.000000E+00; -0.183522E+04
  0.510451E+04;  0.115614E+04;  0.232148E-01;  0.764918E+04;  0.500000E+03;  0.282040E+00; -0.183528E+04;  0.000000E+00; -0.183499E+04
