"Pr" "Mp" "Q_2" "Q_9"
1.01 3121.665 2665.37 3403.99
1.011 3152.816 2702.29 3433.342
1.012 3181.794 2736.296 3460.625
1.013 3208.923 2767.995 3486.284
1.014 3234.457 2797.995 3510.339
1.015 3258.602 2826.301 3533.29
1.016 3281.523 2852.91 3555.125
1.017 3303.359 2878.527 3576.089
1.018 3324.225 2902.746 3595.962
1.019 3344.217 2926.185 3615.263
1.02 3363.42 2948.72 3633.681
1.021 3381.903 2970.289 3651.459
1.022 3399.73 2991.002 3668.594
1.024 3416.953 3010.815 3685.166
1.025 3433.621 3030.402 3701.057
1.026 3449.775 3049.202 3716.472
1.027 3465.453 3067.37 3731.601
1.028 3480.687 3084.962 3746.323
1.029 3495.508 3102.072 3760.589
1.03 3509.942 3118.677 3774.532
1.031 3524.013 3134.93 3788.141
1.032 3537.744 3150.571 3801.339
1.033 3551.153 3165.951 3814.413
1.034 3564.26 3180.892 3827.159
1.035 3577.082 3195.512 3839.682
1.036 3589.632 3209.821 3851.939
1.037 3601.926 3223.642 3863.768
1.038 3613.976 3237.349 3875.52
1.04 3625.794 3250.878 3887.074
1.041 3637.392 3264.034 3898.426
1.042 3648.779 3276.904 3909.541
1.043 3659.966 3289.638 3920.382
1.044 3670.961 3302.159 3931.126
1.045 3681.772 3314.525 3941.601
1.046 3692.407 3326.715 3952.012
1.047 3702.874 3338.624 3962.302
1.048 3713.179 3350.311 3972.453
1.049 3723.329 3361.673 3982.481
1.05 3733.33 3372.84 3992.369
1.052 3743.186 3383.903 4002.029
1.053 3752.905 3394.868 4011.672
1.054 3762.491 3405.613 4021.06
1.055 3771.948 3416.222 4030.352
1.056 3781.281 3426.76 4039.59
1.057 3790.494 3437.205 4048.675
1.058 3799.592 3447.364 4057.613
1.059 3808.578 3457.518 4066.531
1.06 3817.456 3467.412 4075.375
1.062 3826.229 3477.274 4084.042
1.063 3834.901 3487.057 4092.549
1.064 3843.475 3496.694 4101.065
1.065 3851.953 3506.251 4109.367
1.066 3860.34 3515.714 4117.616
1.067 3868.636 3524.924 4125.732
1.068 3876.846 3534.147 4133.921
1.07 3884.971 3543.33 4141.845
1.071 3893.014 3552.362 4149.783
1.072 3900.977 3561.26 4157.704
1.073 3908.862 3570.016 4165.489
1.074 3916.672 3578.677 4173.261
1.075 3924.409 3587.203 4180.902
1.076 3932.073 3595.81 4188.557
1.078 3939.668 3604.11 4196.146
1.079 3947.196 3612.473 4203.709
1.08 3954.656 3620.833 4211.13
1.081 3962.053 3629.057 4218.605
1.082 3969.386 3637.208 4225.841
1.083 3976.658 3645.377 4233.019
1.085 3983.87 3653.415 4240.23
1.086 3991.023 3661.337 4247.316
1.087 3998.119 3669.227 4254.322
1.088 4005.159 3676.988 4261.244
1.089 4012.145 3684.732 4268.174
1.091 4019.077 3692.432 4275.096
1.092 4025.957 3700.097 4281.983
1.093 4032.786 3707.608 4288.718
1.094 4039.565 3715.065 4295.413
1.095 4046.296 3722.373 4302.104
1.096 4052.978 3729.73 4308.724
1.098 4059.614 3737.02 4315.444
1.099 4066.204 3744.364 4321.994
1.1 4072.75 3751.618 4328.506
1.101 4079.251 3758.9 4334.972
1.103 4085.709 3766.115 4341.488
1.104 4092.125 3773.259 4347.952
1.105 4098.5 3780.457 4354.284
1.106 4104.835 3787.465 4360.553
1.107 4111.129 3794.345 4366.888
1.109 4117.385 3801.13 4373.153
