Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.670612E+04;  0.493202E+03;  0.284479E+00; -0.198506E+04;  0.000000E+00; -0.198478E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.670612E+04;  0.493202E+03;  0.283858E+00; -0.196401E+04;  0.000000E+00; -0.196372E+04
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.670612E+04;  0.493202E+03;  0.283739E+00; -0.196356E+04;  0.000000E+00; -0.196328E+04
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.670612E+04;  0.493202E+03;  0.282918E+00; -0.192176E+04;  0.000000E+00; -0.192148E+04
  0.581515E+04;  0.105107E+04;  0.195447E-01;  0.670612E+04;  0.493202E+03;  0.282912E+00; -0.190357E+04;  0.000000E+00; -0.190328E+04
  0.574524E+04;  0.105542E+04;  0.269606E-01;  0.670612E+04;  0.493202E+03;  0.280996E+00; -0.188507E+04;  0.000000E+00; -0.188479E+04
  0.574524E+04;  0.105218E+04;  0.241394E-01;  0.670612E+04;  0.493202E+03;  0.281797E+00; -0.188655E+04;  0.000000E+00; -0.188627E+04
  0.569333E+04;  0.106193E+04;  0.310198E-01;  0.670612E+04;  0.493202E+03;  0.279689E+00; -0.187326E+04;  0.000000E+00; -0.187298E+04
  0.561437E+04;  0.106576E+04;  0.375143E-01;  0.670612E+04;  0.493202E+03;  0.277216E+00; -0.185940E+04;  0.000000E+00; -0.185912E+04
  0.557313E+04;  0.109492E+04;  0.362296E-01;  0.670612E+04;  0.493202E+03;  0.277742E+00; -0.185058E+04;  0.000000E+00; -0.185030E+04
  0.547787E+04;  0.110275E+04;  0.339251E-01;  0.670612E+04;  0.493202E+03;  0.278640E+00; -0.184060E+04;  0.000000E+00; -0.184033E+04
  0.543280E+04;  0.111420E+04;  0.363442E-01;  0.670612E+04;  0.493202E+03;  0.277696E+00; -0.183602E+04;  0.000000E+00; -0.183574E+04
  0.543280E+04;  0.113728E+04;  0.350287E-01;  0.670612E+04;  0.493202E+03;  0.278218E+00; -0.183439E+04;  0.000000E+00; -0.183411E+04
  0.538958E+04;  0.114411E+04;  0.404307E-01;  0.670612E+04;  0.493202E+03;  0.275953E+00; -0.183111E+04;  0.000000E+00; -0.183084E+04
  0.512771E+04;  0.113671E+04;  0.387088E-01;  0.670612E+04;  0.493202E+03;  0.276710E+00; -0.182665E+04;  0.000000E+00; -0.182638E+04
  0.516667E+04;  0.112508E+04;  0.382138E-01;  0.670612E+04;  0.493202E+03;  0.276922E+00; -0.182718E+04;  0.000000E+00; -0.182690E+04
  0.516739E+04;  0.115627E+04;  0.357031E-01;  0.670612E+04;  0.493202E+03;  0.277953E+00; -0.182504E+04;  0.000000E+00; -0.182476E+04
  0.521256E+04;  0.114511E+04;  0.409070E-01;  0.670612E+04;  0.493202E+03;  0.275738E+00; -0.182588E+04;  0.000000E+00; -0.182560E+04
  0.518835E+04;  0.114499E+04;  0.418357E-01;  0.670612E+04;  0.493202E+03;  0.275311E+00; -0.182580E+04;  0.000000E+00; -0.182553E+04
  0.522678E+04;  0.115382E+04;  0.456189E-01;  0.670612E+04;  0.493202E+03;  0.273473E+00; -0.182553E+04;  0.000000E+00; -0.182525E+04
  0.515544E+04;  0.115956E+04;  0.450343E-01;  0.670612E+04;  0.493202E+03;  0.273767E+00; -0.182508E+04;  0.000000E+00; -0.182481E+04
  0.515544E+04;  0.115135E+04;  0.399333E-01;  0.670612E+04;  0.493202E+03;  0.276175E+00; -0.182545E+04;  0.000000E+00; -0.182517E+04
  0.509849E+04;  0.113617E+04;  0.333788E-01;  0.670612E+04;  0.493202E+03;  0.278845E+00; -0.182697E+04;  0.000000E+00; -0.182669E+04
  0.516776E+04;  0.113767E+04;  0.323542E-01;  0.670612E+04;  0.493202E+03;  0.279219E+00; -0.182616E+04;  0.000000E+00; -0.182588E+04
  0.516949E+04;  0.112557E+04;  0.322139E-01;  0.670612E+04;  0.493202E+03;  0.279269E+00; -0.182702E+04;  0.000000E+00; -0.182674E+04
  0.518214E+04;  0.114926E+04;  0.269157E-01;  0.670612E+04;  0.493202E+03;  0.281010E+00; -0.182543E+04;  0.000000E+00; -0.182515E+04
  0.516271E+04;  0.115614E+04;  0.189189E-01;  0.670612E+04;  0.493202E+03;  0.283046E+00; -0.182505E+04;  0.000000E+00; -0.182477E+04
  0.516974E+04;  0.117131E+04;  0.217394E-01;  0.670612E+04;  0.493202E+03;  0.282409E+00; -0.182429E+04;  0.000000E+00; -0.182401E+04
  0.516163E+04;  0.119261E+04;  0.172860E-01;  0.670612E+04;  0.493202E+03;  0.283374E+00; -0.182351E+04;  0.000000E+00; -0.182323E+04
  0.526328E+04;  0.120328E+04;  0.897039E-02;  0.670612E+04;  0.493202E+03;  0.284587E+00; -0.182515E+04;  0.000000E+00; -0.182486E+04
  0.517616E+04;  0.121662E+04;  0.154143E-01;  0.670612E+04;  0.493202E+03;  0.283714E+00; -0.182301E+04;  0.000000E+00; -0.182273E+04
  0.501448E+04;  0.119519E+04;  0.188837E-01;  0.670612E+04;  0.493202E+03;  0.283053E+00; -0.182510E+04;  0.000000E+00; -0.182482E+04
  0.507347E+04;  0.120481E+04;  0.280593E-01;  0.670612E+04;  0.493202E+03;  0.280660E+00; -0.182360E+04;  0.000000E+00; -0.182332E+04
  0.507347E+04;  0.118313E+04;  0.238641E-01;  0.670612E+04;  0.493202E+03;  0.281870E+00; -0.182442E+04;  0.000000E+00; -0.182414E+04
