Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.670612E+04;  0.493202E+03;  0.284479E+00; -0.200704E+04;  0.000000E+00; -0.200676E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.670612E+04;  0.493202E+03;  0.283858E+00; -0.198387E+04;  0.000000E+00; -0.198358E+04
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.670612E+04;  0.493202E+03;  0.283739E+00; -0.198336E+04;  0.000000E+00; -0.198308E+04
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.670612E+04;  0.493202E+03;  0.282918E+00; -0.193873E+04;  0.000000E+00; -0.193844E+04
  0.581515E+04;  0.105107E+04;  0.195447E-01;  0.670612E+04;  0.493202E+03;  0.282912E+00; -0.191892E+04;  0.000000E+00; -0.191863E+04
  0.574524E+04;  0.105542E+04;  0.269606E-01;  0.670612E+04;  0.493202E+03;  0.280996E+00; -0.189913E+04;  0.000000E+00; -0.189885E+04
  0.574524E+04;  0.105218E+04;  0.241394E-01;  0.670612E+04;  0.493202E+03;  0.281797E+00; -0.190083E+04;  0.000000E+00; -0.190055E+04
  0.569333E+04;  0.106193E+04;  0.310198E-01;  0.670612E+04;  0.493202E+03;  0.279689E+00; -0.188644E+04;  0.000000E+00; -0.188616E+04
  0.561437E+04;  0.106576E+04;  0.375143E-01;  0.670612E+04;  0.493202E+03;  0.277216E+00; -0.187162E+04;  0.000000E+00; -0.187134E+04
  0.557313E+04;  0.109492E+04;  0.362296E-01;  0.670612E+04;  0.493202E+03;  0.277742E+00; -0.186168E+04;  0.000000E+00; -0.186140E+04
  0.547787E+04;  0.110275E+04;  0.339251E-01;  0.670612E+04;  0.493202E+03;  0.278640E+00; -0.185081E+04;  0.000000E+00; -0.185053E+04
  0.543280E+04;  0.111420E+04;  0.363442E-01;  0.670612E+04;  0.493202E+03;  0.277696E+00; -0.184567E+04;  0.000000E+00; -0.184540E+04
  0.543280E+04;  0.113728E+04;  0.350287E-01;  0.670612E+04;  0.493202E+03;  0.278218E+00; -0.184360E+04;  0.000000E+00; -0.184332E+04
