"Pr" "Mp" "Q_2" "Q_9"
1.01 3077.296 2622.887 3383.263
1.011 3109.648 2660.389 3412.835
1.012 3139.751 2695.172 3440.404
1.013 3167.939 2727.634 3466.056
1.014 3194.478 2757.967 3490.537
1.015 3219.578 2786.822 3513.667
1.016 3243.413 2814.391 3535.662
1.017 3266.123 2840.453 3556.415
1.018 3287.829 2865.274 3576.545
1.019 3308.63 2888.84 3595.804
1.02 3328.613 2911.767 3614.316
1.021 3347.851 2933.849 3632.171
1.022 3366.409 2955.122 3649.336
1.024 3384.341 2975.528 3665.81
1.025 3401.699 2995.201 3682.035
1.026 3418.523 3014.411 3697.705
1.027 3434.854 3032.986 3712.946
1.028 3450.726 3051.199 3727.686
1.029 3466.169 3068.75 3742.207
1.03 3481.211 3085.793 3756.281
1.031 3495.877 3102.366 3770.084
1.032 3510.189 3118.381 3783.626
1.033 3524.169 3134.32 3796.802
1.034 3537.836 3149.752 3809.667
1.035 3551.206 3164.722 3822.224
1.036 3564.295 3179.441 3834.486
1.037 3577.118 3193.891 3846.69
1.038 3589.688 3208.031 3858.549
1.04 3602.018 3221.955 3870.283
1.041 3614.12 3235.62 3881.648
1.042 3626.003 3248.891 3892.883
1.043 3637.678 3261.978 3904.097
1.044 3649.153 3274.987 3914.967
1.045 3660.439 3287.55 3925.71
1.046 3671.542 3299.932 3936.253
1.047 3682.47 3312.123 3946.671
1.048 3693.23 3324.048 3956.821
1.049 3703.83 3335.784 3966.904
1.05 3714.274 3347.331 3976.835
1.052 3724.569 3358.67 3986.771
1.053 3734.721 3370.046 3996.411
1.054 3744.735 3381.271 4005.995
1.055 3754.616 3392.371 4015.467
1.056 3764.368 3403.226 4024.78
1.057 3773.995 3413.867 4034.008
1.058 3783.503 3424.416 4043.006
1.059 3792.895 3434.619 4051.945
1.06 3802.175 3444.987 4060.813
1.062 3811.346 3454.971 4069.744
1.063 3820.411 3465.084 4078.501
1.064 3829.375 3475.087 4087.118
1.065 3838.241 3484.844 4095.593
1.066 3847.01 3494.375 4103.928
1.067 3855.686 3503.88 4112.21
1.068 3864.272 3513.426 4120.409
1.07 3872.77 3522.671 4128.451
1.071 3881.183 3531.971 4136.44
1.072 3889.514 3541.156 4144.392
1.073 3897.763 3550.196 4152.321
1.074 3905.935 3559.255 4160.223
1.075 3914.029 3568.106 4168.095
1.076 3922.05 3576.87 4175.794
1.078 3929.998 3585.553 4183.464
1.079 3937.876 3594.104 4190.985
1.08 3945.685 3602.695 4198.495
1.081 3953.427 3611.052 4205.898
1.082 3961.103 3619.425 4213.339
1.083 3968.716 3627.786 4220.771
1.085 3976.266 3636.105 4228.158
1.086 3983.756 3644.294 4235.415
1.087 3991.186 3652.449 4242.523
1.088 3998.559 3660.472 4249.564
1.089 4005.874 3668.48 4256.675
1.091 4013.135 3676.399 4263.744
1.092 4020.341 3684.165 4270.709
1.093 4027.494 3691.995 4277.602
1.094 4034.595 3699.727 4284.558
1.095 4041.646 3707.289 4291.403
1.096 4048.647 3715.002 4298.228
1.098 4055.6 3722.401 4304.95
1.099 4062.505 3729.932 4311.702
1.1 4069.363 3737.339 4318.425
1.101 4076.176 3744.738 4324.954
1.103 4082.945 3752.031 4331.513
1.104 4089.669 3759.546 4338.037
1.105 4096.351 3766.652 4344.519
1.106 4102.991 3773.846 4350.969
1.107 4109.589 3780.895 4357.352
1.109 4116.147 3787.819 4363.735
1.11 4122.665 3794.823 4370.091
1.111 4129.145 3801.783 4376.4
1.112 4135.586 3808.651 4382.641
1.114 4141.99 3815.495 4388.813
1.115 4148.357 3822.348 4394.958
1.116 4154.688 3829.03 4401.111
1.117 4160.984 3835.752 4407.257
1.119 4167.245 3842.523 4413.315
1.12 4173.472 3849.273 4419.404
1.121 4179.665 3856.026 4425.476
1.122 4185.825 3862.571 4431.471
1.124 4191.953 3869.16 4437.442
1.125 4198.049 3875.609 4443.332
1.126 4204.113 3882.171 4449.325
1.127 4210.147 3888.701 4455.282
1.129 4216.151 3895.13 4461.175
1.13 4222.125 3901.505 4466.987
1.131 4228.069 3907.846 4472.837
1.133 4233.985 3914.163 4478.587
1.134 4239.873 3920.418 4484.332
1.135 4245.733 3926.742 4490.133
1.136 4251.565 3932.966 4495.835
1.138 4257.371 3939.201 4501.588
1.139 4263.15 3945.352 4507.307
1.14 4268.903 3951.463 4512.876
1.142 4274.63 3957.56 4518.589
1.143 4280.332 3963.602 4524.241
1.144 4286.009 3969.632 4529.808
1.145 4291.662 3975.658 4535.402
1.147 4297.29 3981.64 4540.831
1.148 4302.895 3987.647 4546.321
1.149 4308.476 3993.622 4551.794
1.151 4314.035 3999.545 4557.285
1.152 4319.57 4005.422 4562.722
1.153 4325.083 4011.179 4568.234
1.155 4330.575 4016.995 4573.667
1.156 4336.044 4022.746 4579.134
1.157 4341.492 4028.459 4584.521
1.159 4346.919 4034.154 4589.894
1.16 4352.325 4039.894 4595.173
1.161 4357.711 4045.566 4600.457
1.163 4363.076 4051.239 4605.741
1.164 4368.422 4056.972 4611.029
1.166 4373.748 4062.555 4616.284
1.167 4379.054 4068.097 4621.498
1.168 4384.342 4073.713 4626.739
1.17 4389.61 4079.338 4631.936
1.171 4394.861 4084.878 4637.161
1.172 4400.092 4090.338 4642.29
1.174 4405.306 4095.963 4647.459
1.175 4410.502 4101.47 4652.595
1.176 4415.68 4106.934 4657.727
1.178 4420.841 4112.371 4662.824
1.179 4425.985 4117.883 4667.956
1.181 4431.112 4123.356 4673.003
1.182 4436.223 4128.633 4678.026
1.183 4441.316 4133.971 4683.141
1.185 4446.394 4139.258 4688.185
1.186 4451.456 4144.704 4693.152
1.188 4456.502 4149.953 4698.183
1.189 4461.532 4155.305 4703.183
1.19 4466.547 4160.683 4708.106
1.192 4471.546 4165.872 4713.073
1.193 4476.531 4171.155 4718.05
1.195 4481.501 4176.381 4723.01
1.196 4486.456 4181.523 4727.924
1.198 4491.397 4186.723 4732.896
1.199 4496.324 4191.916 4737.74
1.2 4501.236 4196.978 4742.612
1.202 4506.135 4202.048 4747.416
1.203 4511.019 4207.219 4752.185
1.205 4515.891 4212.26 4756.964
1.206 4520.749 4217.443 4761.824
1.208 4525.593 4222.467 4766.645
1.209 4530.425 4227.503 4771.466
1.211 4535.244 4232.553 4776.218
1.212 4540.05 4237.629 4781.024
1.214 4544.843 4242.662 4785.762
1.215 4549.624 4247.645 4790.514
1.217 4554.392 4252.606 4795.324
1.218 4559.149 4257.526 4800.1
1.22 4563.893 4262.484 4804.774
1.221 4568.626 4267.417 4809.467
1.222 4573.347 4272.283 4814.232
1.224 4578.056 4277.207 4818.996
1.225 4582.754 4282.05 4823.726
1.227 4587.441 4286.866 4828.405
1.229 4592.116 4291.794 4833.058
1.23 4596.78 4296.656 4837.683
1.232 4601.434 4301.533 4842.297
1.233 4606.077 4306.426 4846.916
1.235 4610.709 4311.273 4851.599
1.236 4615.33 4316.096 4856.219
1.238 4619.941 4320.907 4860.85
1.239 4624.542 4325.649 4865.437
1.241 4629.133 4330.366 4870.038
1.242 4633.713 4335.136 4874.546
1.244 4638.284 4339.868 4879.103
1.245 4642.845 4344.573 4883.568
1.247 4647.396 4349.379 4888.06
1.248 4651.938 4354.073 4892.575
1.25 4656.47 4358.827 4897.098
1.252 4660.992 4363.469 4901.653
1.253 4665.506 4368.12 4906.136
1.255 4670.01 4372.769 4910.624
1.256 4674.505 4377.504 4915.115
1.258 4678.991 4382.249 4919.578
1.259 4683.469 4386.903 4924.111
1.261 4687.937 4391.518 4928.581
1.263 4692.397 4396.097 4933.043
1.264 4696.849 4400.706 4937.488
1.266 4701.292 4405.327 4941.922
1.267 4705.726 4409.867 4946.38
1.269 4710.153 4414.421 4950.822
1.271 4714.571 4418.937 4955.32
1.272 4718.981 4423.47 4959.692
1.274 4723.383 4427.99 4964.094
1.276 4727.777 4432.52 4968.514
1.277 4732.163 4437.021 4972.905
1.279 4736.542 4441.516 4977.246
1.28 4740.912 4446.022 4981.667
1.282 4745.276 4450.56 4986.067
1.284 4749.632 4455.121 4990.403
1.285 4753.98 4459.519 4994.707
1.287 4758.321 4463.937 4998.997
1.289 4762.655 4468.361 5003.405
1.29 4766.982 4472.945 5007.798
1.292 4771.302 4477.384 5012.032
1.294 4775.614 4481.861 5016.36
1.295 4779.92 4486.252 5020.707
1.297 4784.219 4490.702 5024.953
1.299 4788.511 4495.212 5029.221
1.3 4792.797 4499.521 5033.543
1.302 4797.075 4503.953 5037.85
1.304 4801.348 4508.363 5042.085
1.305 4805.614 4512.809 5046.319
1.307 4809.873 4517.207 5050.518
1.309 4814.126 4521.592 5054.774
1.311 4818.373 4525.931 5059.076
1.312 4822.614 4530.329 5063.341
1.314 4826.848 4534.648 5067.596
1.316 4831.077 4539.012 5071.833
1.318 4835.3 4543.348 5076.077
1.319 4839.516 4547.73 5080.289
1.321 4843.727 4552.007 5084.585
1.323 4847.932 4556.385 5088.835
1.325 4852.131 4560.69 5093.064
1.326 4856.325 4565.017 5097.293
1.328 4860.513 4569.317 5101.496
1.33 4864.696 4573.622 5105.697
1.332 4868.873 4577.86 5109.833
1.333 4873.045 4582.076 5114.08
1.335 4877.211 4586.42 5118.278
1.337 4881.372 4590.633 5122.447
1.339 4885.528 4594.863 5126.624
1.34 4889.679 4599.081 5130.838
1.342 4893.824 4603.291 5135.001
1.344 4897.965 4607.527 5139.05
1.346 4902.101 4611.763 5143.23
1.348 4906.231 4616.027 5147.39
1.35 4910.357 4620.249 5151.569
1.351 4914.478 4624.463 5155.729
1.353 4918.595 4628.717 5159.9
1.355 4922.706 4632.926 5164.007
1.357 4926.813 4637.163 5168.181
1.359 4930.915 4641.335 5172.349
1.361 4935.013 4645.537 5176.48
1.362 4939.106 4649.732 5180.619
1.364 4943.195 4653.976 5184.779
1.366 4947.28 4658.22 5188.948
1.368 4951.36 4662.371 5193.112
1.37 4955.436 4666.576 5197.241
1.372 4959.507 4670.72 5201.338
1.374 4963.575 4674.836 5205.395
1.376 4967.638 4678.985 5209.461
1.377 4971.698 4683.151 5213.567
1.379 4975.753 4687.29 5217.685
1.381 4979.804 4691.43 5221.8
1.383 4983.851 4695.533 5225.889
1.385 4987.895 4699.622 5229.998
1.387 4991.935 4703.755 5234.039
1.389 4995.97 4707.81 5238.093
1.391 5000.003 4711.916 5242.148
1.393 5004.031 4716.048 5246.228
1.395 5008.056 4720.094 5250.268
1.397 5012.077 4724.183 5254.35
1.399 5016.095 4728.305 5258.357
1.401 5020.109 4732.415 5262.396
1.403 5024.119 4736.508 5266.44
1.404 5028.127 4740.643 5270.509
1.406 5032.13 4744.776 5274.5
1.408 5036.131 4748.893 5278.535
1.41 5040.128 4752.955 5282.583
1.412 5044.122 4757.041 5286.612
1.414 5048.113 4761.096 5290.628
1.416 5052.101 4765.187 5294.623
1.418 5056.085 4769.203 5298.596
1.42 5060.067 4773.213 5302.665
1.422 5064.045 4777.278 5306.633
1.425 5068.02 4781.404 5310.655
1.427 5071.993 4785.465 5314.718
1.429 5075.962 4789.46 5318.771
1.431 5079.929 4793.476 5322.799
1.433 5083.893 4797.492 5326.877
1.435 5087.854 4801.384 5330.853
1.437 5091.812 4805.413 5334.884
1.439 5095.768 4809.38 5338.916
1.441 5099.721 4813.425 5342.913
1.443 5103.671 4817.425 5346.943
1.445 5107.619 4821.368 5350.945
1.447 5111.564 4825.379 5354.814
1.449 5115.506 4829.426 5358.845
1.451 5119.446 4833.42 5362.871
1.453 5123.384 4837.471 5366.922
1.456 5127.319 4841.478 5370.909
1.458 5131.252 4845.484 5374.866
