Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.670612E+04;  0.500000E+03; -0.110210E+02; -0.200902E+04;  0.000000E+00; -0.202004E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.670970E+04;  0.499378E+03; -0.110201E+02; -0.198508E+04;  0.000000E+00; -0.199610E+04
  0.597360E+04;  0.102991E+04;  0.141661E-01;  0.670953E+04;  0.499149E+03; -0.110195E+02; -0.197884E+04;  0.000000E+00; -0.198986E+04
  0.592636E+04;  0.102991E+04;  0.146476E-01;  0.671467E+04;  0.500159E+03; -0.110226E+02; -0.196190E+04;  0.000000E+00; -0.197292E+04
  0.592636E+04;  0.103585E+04;  0.198267E-01;  0.671472E+04;  0.499849E+03; -0.110228E+02; -0.195644E+04;  0.000000E+00; -0.196747E+04
  0.586089E+04;  0.103628E+04;  0.211986E-01;  0.671765E+04;  0.500512E+03; -0.110254E+02; -0.193584E+04;  0.000000E+00; -0.194687E+04
  0.586267E+04;  0.104196E+04;  0.200700E-01;  0.671796E+04;  0.501173E+03; -0.110272E+02; -0.193486E+04;  0.000000E+00; -0.194589E+04
  0.586267E+04;  0.105341E+04;  0.211698E-01;  0.672068E+04;  0.501019E+03; -0.110275E+02; -0.193030E+04;  0.000000E+00; -0.194133E+04
  0.581263E+04;  0.107275E+04;  0.239581E-01;  0.672046E+04;  0.501151E+03; -0.110286E+02; -0.191110E+04;  0.000000E+00; -0.192213E+04
  0.572485E+04;  0.109138E+04;  0.217940E-01;  0.671857E+04;  0.501129E+03; -0.110276E+02; -0.188913E+04;  0.000000E+00; -0.190016E+04
  0.569857E+04;  0.111730E+04;  0.218299E-01;  0.672330E+04;  0.500747E+03; -0.110275E+02; -0.187956E+04;  0.000000E+00; -0.189059E+04
  0.567428E+04;  0.112673E+04;  0.216648E-01;  0.672777E+04;  0.500597E+03; -0.110283E+02; -0.187389E+04;  0.000000E+00; -0.188492E+04
  0.564516E+04;  0.114135E+04;  0.242827E-01;  0.672790E+04;  0.499703E+03; -0.110266E+02; -0.186700E+04;  0.000000E+00; -0.187802E+04
  0.552027E+04;  0.114194E+04;  0.330608E-01;  0.672831E+04;  0.499140E+03; -0.110281E+02; -0.185049E+04;  0.000000E+00; -0.186152E+04
  0.538537E+04;  0.113082E+04;  0.326694E-01;  0.672444E+04;  0.499925E+03; -0.110287E+02; -0.184108E+04;  0.000000E+00; -0.185211E+04
  0.538537E+04;  0.112272E+04;  0.346676E-01;  0.671887E+04;  0.499831E+03; -0.110279E+02; -0.184191E+04;  0.000000E+00; -0.185294E+04
  0.538537E+04;  0.112461E+04;  0.271148E-01;  0.672442E+04;  0.500208E+03; -0.110277E+02; -0.184195E+04;  0.000000E+00; -0.185298E+04
  0.538537E+04;  0.112567E+04;  0.275292E-01;  0.672661E+04;  0.500528E+03; -0.110294E+02; -0.184184E+04;  0.000000E+00; -0.185287E+04
  0.532240E+04;  0.112569E+04;  0.208417E-01;  0.672995E+04;  0.499638E+03; -0.110262E+02; -0.183861E+04;  0.000000E+00; -0.184964E+04
  0.522178E+04;  0.113522E+04;  0.185271E-01;  0.673042E+04;  0.500600E+03; -0.110286E+02; -0.183461E+04;  0.000000E+00; -0.184564E+04
  0.517583E+04;  0.113279E+04;  0.154574E-01;  0.673218E+04;  0.499757E+03; -0.110263E+02; -0.183409E+04;  0.000000E+00; -0.184512E+04
  0.513824E+04;  0.113279E+04;  0.235112E-01;  0.673652E+04;  0.499845E+03; -0.110301E+02; -0.183389E+04;  0.000000E+00; -0.184492E+04
  0.517336E+04;  0.112561E+04;  0.280734E-01;  0.673996E+04;  0.499030E+03; -0.110311E+02; -0.183455E+04;  0.000000E+00; -0.184558E+04
  0.509344E+04;  0.112807E+04;  0.263185E-01;  0.674009E+04;  0.499054E+03; -0.110307E+02; -0.183470E+04;  0.000000E+00; -0.184573E+04
  0.519282E+04;  0.113371E+04;  0.294956E-01;  0.673929E+04;  0.499493E+03; -0.110323E+02; -0.183398E+04;  0.000000E+00; -0.184501E+04
  0.524170E+04;  0.112911E+04;  0.288790E-01;  0.674052E+04;  0.498920E+03; -0.110314E+02; -0.183506E+04;  0.000000E+00; -0.184609E+04
  0.528247E+04;  0.112749E+04;  0.324085E-01;  0.673505E+04;  0.498324E+03; -0.110287E+02; -0.183627E+04;  0.000000E+00; -0.184730E+04
  0.533603E+04;  0.113351E+04;  0.354517E-01;  0.673710E+04;  0.498561E+03; -0.110312E+02; -0.183768E+04;  0.000000E+00; -0.184871E+04
  0.532132E+04;  0.112459E+04;  0.347862E-01;  0.673694E+04;  0.498573E+03; -0.110309E+02; -0.183786E+04;  0.000000E+00; -0.184889E+04
  0.532132E+04;  0.114127E+04;  0.321619E-01;  0.673453E+04;  0.498598E+03; -0.110289E+02; -0.183660E+04;  0.000000E+00; -0.184763E+04
  0.527598E+04;  0.115130E+04;  0.381487E-01;  0.673456E+04;  0.499355E+03; -0.110330E+02; -0.183422E+04;  0.000000E+00; -0.184525E+04
  0.517255E+04;  0.118793E+04;  0.377321E-01;  0.672847E+04;  0.499351E+03; -0.110305E+02; -0.183051E+04;  0.000000E+00; -0.184154E+04
  0.516977E+04;  0.118696E+04;  0.419183E-01;  0.672659E+04;  0.500114E+03; -0.110337E+02; -0.183074E+04;  0.000000E+00; -0.184177E+04
  0.523694E+04;  0.118743E+04;  0.438067E-01;  0.673026E+04;  0.500526E+03; -0.110370E+02; -0.183145E+04;  0.000000E+00; -0.184249E+04
  0.506261E+04;  0.121881E+04;  0.338758E-01;  0.673662E+04;  0.500529E+03; -0.110354E+02; -0.182952E+04;  0.000000E+00; -0.184056E+04
  0.507016E+04;  0.124199E+04;  0.427107E-01;  0.673310E+04;  0.499813E+03; -0.110356E+02; -0.182885E+04;  0.000000E+00; -0.183989E+04
  0.508815E+04;  0.123868E+04;  0.481777E-01;  0.672828E+04;  0.499547E+03; -0.110359E+02; -0.182903E+04;  0.000000E+00; -0.184007E+04
  0.518668E+04;  0.122528E+04;  0.496489E-01;  0.673425E+04;  0.498428E+03; -0.110364E+02; -0.182908E+04;  0.000000E+00; -0.184012E+04
  0.515204E+04;  0.123127E+04;  0.474808E-01;  0.673154E+04;  0.499158E+03; -0.110358E+02; -0.182881E+04;  0.000000E+00; -0.183985E+04
  0.519536E+04;  0.122476E+04;  0.494960E-01;  0.673328E+04;  0.499631E+03; -0.110387E+02; -0.182932E+04;  0.000000E+00; -0.184036E+04
  0.519948E+04;  0.121384E+04;  0.566282E-01;  0.673547E+04;  0.498427E+03; -0.110410E+02; -0.182981E+04;  0.000000E+00; -0.184085E+04
  0.519948E+04;  0.119820E+04;  0.574181E-01;  0.673588E+04;  0.497619E+03; -0.110402E+02; -0.183055E+04;  0.000000E+00; -0.184159E+04
  0.518659E+04;  0.122638E+04;  0.494258E-01;  0.673612E+04;  0.497635E+03; -0.110356E+02; -0.182899E+04;  0.000000E+00; -0.184003E+04
  0.514365E+04;  0.122129E+04;  0.485329E-01;  0.673629E+04;  0.495829E+03; -0.110326E+02; -0.182896E+04;  0.000000E+00; -0.183999E+04
  0.513533E+04;  0.126066E+04;  0.408002E-01;  0.673614E+04;  0.494633E+03; -0.110277E+02; -0.182756E+04;  0.000000E+00; -0.183859E+04
  0.519738E+04;  0.126189E+04;  0.497336E-01;  0.672623E+04;  0.494430E+03; -0.110283E+02; -0.182818E+04;  0.000000E+00; -0.183921E+04
  0.509557E+04;  0.123844E+04;  0.451039E-01;  0.672381E+04;  0.495652E+03; -0.110261E+02; -0.182874E+04;  0.000000E+00; -0.183977E+04
  0.509557E+04;  0.123741E+04;  0.420079E-01;  0.672573E+04;  0.495417E+03; -0.110249E+02; -0.182860E+04;  0.000000E+00; -0.183962E+04
  0.504208E+04;  0.123141E+04;  0.358846E-01;  0.672656E+04;  0.496249E+03; -0.110234E+02; -0.182938E+04;  0.000000E+00; -0.184041E+04
  0.505421E+04;  0.124703E+04;  0.367997E-01;  0.672413E+04;  0.496971E+03; -0.110240E+02; -0.182875E+04;  0.000000E+00; -0.183978E+04
  0.506210E+04;  0.127466E+04;  0.391119E-01;  0.672400E+04;  0.497341E+03; -0.110256E+02; -0.182806E+04;  0.000000E+00; -0.183908E+04
  0.506210E+04;  0.127919E+04;  0.325607E-01;  0.671364E+04;  0.495858E+03; -0.110189E+02; -0.182804E+04;  0.000000E+00; -0.183906E+04
  0.501251E+04;  0.131001E+04;  0.391287E-01;  0.671180E+04;  0.495824E+03; -0.110213E+02; -0.182846E+04;  0.000000E+00; -0.183948E+04
  0.502107E+04;  0.129609E+04;  0.250202E-01;  0.670684E+04;  0.496987E+03; -0.110176E+02; -0.182846E+04;  0.000000E+00; -0.183948E+04
  0.505756E+04;  0.128228E+04;  0.199910E-01;  0.670255E+04;  0.496020E+03; -0.110151E+02; -0.182826E+04;  0.000000E+00; -0.183927E+04
  0.507287E+04;  0.128270E+04;  0.192905E-01;  0.669923E+04;  0.496963E+03; -0.110165E+02; -0.182833E+04;  0.000000E+00; -0.183935E+04
  0.507983E+04;  0.126698E+04;  0.107904E-01;  0.669104E+04;  0.495365E+03; -0.110145E+02; -0.182863E+04;  0.000000E+00; -0.183964E+04
  0.512978E+04;  0.126972E+04;  0.206897E-01;  0.669153E+04;  0.495430E+03; -0.110162E+02; -0.182857E+04;  0.000000E+00; -0.183958E+04
  0.512667E+04;  0.128779E+04;  0.215086E-01;  0.669616E+04;  0.495494E+03; -0.110156E+02; -0.182830E+04;  0.000000E+00; -0.183932E+04
  0.512667E+04;  0.129272E+04;  0.207023E-01;  0.670102E+04;  0.494987E+03; -0.110144E+02; -0.182817E+04;  0.000000E+00; -0.183919E+04
  0.520407E+04;  0.131155E+04;  0.197535E-01;  0.670213E+04;  0.494855E+03; -0.110140E+02; -0.182936E+04;  0.000000E+00; -0.184037E+04
  0.507040E+04;  0.131708E+04;  0.149531E-01;  0.670497E+04;  0.494782E+03; -0.110130E+02; -0.182808E+04;  0.000000E+00; -0.183910E+04
  0.507040E+04;  0.128742E+04;  0.742592E-02;  0.670562E+04;  0.494180E+03; -0.110117E+02; -0.182813E+04;  0.000000E+00; -0.183915E+04
  0.502678E+04;  0.131114E+04;  0.700032E-03;  0.670957E+04;  0.492783E+03; -0.110113E+02; -0.182832E+04;  0.000000E+00; -0.183934E+04
  0.508654E+04;  0.131586E+04;  0.224976E-02;  0.671549E+04;  0.493318E+03; -0.110119E+02; -0.182797E+04;  0.000000E+00; -0.183898E+04
  0.510488E+04;  0.132981E+04; -0.395463E-02;  0.671580E+04;  0.493845E+03; -0.110121E+02; -0.182847E+04;  0.000000E+00; -0.183949E+04
  0.512213E+04;  0.131504E+04;  0.831360E-03;  0.672108E+04;  0.494916E+03; -0.110135E+02; -0.182821E+04;  0.000000E+00; -0.183922E+04
  0.512213E+04;  0.129641E+04; -0.894866E-02;  0.672471E+04;  0.495169E+03; -0.110151E+02; -0.182841E+04;  0.000000E+00; -0.183942E+04
  0.497020E+04;  0.128621E+04;  0.157131E-02;  0.672319E+04;  0.496181E+03; -0.110152E+02; -0.182913E+04;  0.000000E+00; -0.184014E+04
  0.510278E+04;  0.128376E+04; -0.190837E-02;  0.671974E+04;  0.495826E+03; -0.110140E+02; -0.182823E+04;  0.000000E+00; -0.183924E+04
  0.496028E+04;  0.127896E+04; -0.103338E-01;  0.671930E+04;  0.496842E+03; -0.110158E+02; -0.182968E+04;  0.000000E+00; -0.184070E+04
  0.498943E+04;  0.131243E+04; -0.985222E-02;  0.672477E+04;  0.496469E+03; -0.110165E+02; -0.182886E+04;  0.000000E+00; -0.183987E+04
  0.500120E+04;  0.129149E+04; -0.886502E-02;  0.672269E+04;  0.497515E+03; -0.110175E+02; -0.182889E+04;  0.000000E+00; -0.183990E+04
  0.500120E+04;  0.129638E+04; -0.106099E-01;  0.672449E+04;  0.496759E+03; -0.110169E+02; -0.182882E+04;  0.000000E+00; -0.183984E+04
  0.505735E+04;  0.128981E+04; -0.963339E-02;  0.671837E+04;  0.496434E+03; -0.110150E+02; -0.182847E+04;  0.000000E+00; -0.183949E+04
  0.504524E+04;  0.127723E+04; -0.126002E-01;  0.671485E+04;  0.496717E+03; -0.110151E+02; -0.182882E+04;  0.000000E+00; -0.183984E+04
  0.500446E+04;  0.127814E+04; -0.132850E-01;  0.672358E+04;  0.495524E+03; -0.110156E+02; -0.182894E+04;  0.000000E+00; -0.183996E+04
  0.516718E+04;  0.127923E+04; -0.501495E-02;  0.672316E+04;  0.495366E+03; -0.110145E+02; -0.182884E+04;  0.000000E+00; -0.183986E+04
  0.525803E+04;  0.128587E+04; -0.141908E-01;  0.672288E+04;  0.495269E+03; -0.110153E+02; -0.183175E+04;  0.000000E+00; -0.184277E+04
  0.508725E+04;  0.126178E+04; -0.113959E-01;  0.673050E+04;  0.495536E+03; -0.110176E+02; -0.182845E+04;  0.000000E+00; -0.183947E+04
  0.511626E+04;  0.124605E+04; -0.774860E-02;  0.673000E+04;  0.495839E+03; -0.110173E+02; -0.182867E+04;  0.000000E+00; -0.183968E+04
  0.503883E+04;  0.124807E+04; -0.650135E-02;  0.672974E+04;  0.495455E+03; -0.110167E+02; -0.182871E+04;  0.000000E+00; -0.183973E+04
  0.510378E+04;  0.123038E+04; -0.798262E-02;  0.672181E+04;  0.495487E+03; -0.110145E+02; -0.182909E+04;  0.000000E+00; -0.184011E+04
  0.515133E+04;  0.122348E+04; -0.458656E-02;  0.672412E+04;  0.495527E+03; -0.110149E+02; -0.182950E+04;  0.000000E+00; -0.184051E+04
  0.503259E+04;  0.125126E+04;  0.353515E-02;  0.672473E+04;  0.494349E+03; -0.110142E+02; -0.182857E+04;  0.000000E+00; -0.183959E+04
  0.508892E+04;  0.123082E+04;  0.351211E-02;  0.672363E+04;  0.494213E+03; -0.110138E+02; -0.182867E+04;  0.000000E+00; -0.183969E+04
  0.515149E+04;  0.122219E+04;  0.574952E-02;  0.672401E+04;  0.494974E+03; -0.110145E+02; -0.182911E+04;  0.000000E+00; -0.184012E+04
  0.515149E+04;  0.122646E+04;  0.666411E-03;  0.671794E+04;  0.495444E+03; -0.110133E+02; -0.182931E+04;  0.000000E+00; -0.184032E+04
  0.504838E+04;  0.123918E+04; -0.211361E-02;  0.672263E+04;  0.495594E+03; -0.110145E+02; -0.182891E+04;  0.000000E+00; -0.183993E+04
  0.507438E+04;  0.122444E+04; -0.892259E-02;  0.673121E+04;  0.496478E+03; -0.110186E+02; -0.182918E+04;  0.000000E+00; -0.184019E+04
  0.509607E+04;  0.125287E+04;  0.170512E-02;  0.672254E+04;  0.496430E+03; -0.110154E+02; -0.182835E+04;  0.000000E+00; -0.183936E+04
  0.509444E+04;  0.126182E+04; -0.316525E-02;  0.672178E+04;  0.496616E+03; -0.110155E+02; -0.182844E+04;  0.000000E+00; -0.183946E+04
