"Pr" "Mp" "Q_2" "Q_9"
1.01 3106.965 2702.06 3404.766
1.011 3136.178 2735.705 3431.799
1.012 3163.361 2766.959 3456.927
1.013 3188.816 2796.051 3480.447
1.014 3212.781 2823.486 3502.58
1.015 3235.448 2849.236 3523.736
1.016 3256.972 2873.678 3543.668
1.017 3277.482 2896.877 3562.833
1.018 3297.085 2919.121 3581.161
1.019 3315.871 2940.616 3598.632
1.02 3333.918 2961.275 3615.605
1.021 3351.293 2981.241 3631.953
1.022 3368.054 3000.344 3647.721
1.024 3384.25 3018.879 3662.9
1.025 3399.927 3036.713 3677.603
1.026 3415.123 3053.825 3692.013
1.027 3429.874 3070.668 3705.91
1.028 3444.21 3086.824 3719.39
1.029 3458.158 3102.617 3732.577
1.03 3471.745 3117.83 3745.312
1.031 3484.992 3132.968 3757.773
1.032 3497.92 3147.573 3769.926
1.033 3510.548 3161.716 3781.917
1.034 3522.893 3175.527 3793.575
1.035 3534.97 3189.06 3804.892
1.036 3546.794 3202.419 3816.006
1.037 3558.377 3215.388 3827.002
1.038 3569.733 3228.187 3837.73
1.04 3580.871 3240.669 3848.208
1.041 3591.803 3252.773 3858.505
1.042 3602.537 3264.775 3868.754
1.043 3613.084 3276.611 3878.715
1.044 3623.451 3288.163 3888.484
1.045 3633.646 3299.476 3898.194
1.046 3643.676 3310.598 3907.777
1.047 3653.549 3321.665 3917.093
1.048 3663.27 3332.573 3926.346
1.049 3672.846 3343.226 3935.404
1.05 3682.281 3353.686 3944.351
1.052 3691.583 3364.043 3953.222
1.053 3700.754 3374.156 3961.904
1.054 3709.801 3384.267 3970.498
1.055 3718.728 3394.211 3978.835
1.056 3727.539 3404.008 3987.252
1.057 3736.237 3413.675 3995.493
1.058 3744.827 3423.149 4003.623
1.059 3753.312 3432.427 4011.692
1.06 3761.696 3441.808 4019.586
1.062 3769.983 3451.089 4027.408
1.063 3778.174 3460.147 4035.219
1.064 3786.273 3469.15 4042.943
1.065 3794.282 3478.106 4050.61
1.066 3802.206 3486.74 4058.134
1.067 3810.045 3495.289 4065.611
1.068 3817.803 3503.854 4073.045
1.07 3825.481 3512.393 4080.388
1.071 3833.083 3520.688 4087.626
1.072 3840.61 3529.026 4094.88
1.073 3848.064 3537.25 4102.056
1.074 3855.447 3545.388 4109.063
1.075 3862.762 3553.38 4115.99
1.076 3870.009 3561.508 4122.888
1.078 3877.191 3569.368 4129.765
1.079 3884.309 3577.241 4136.622
1.08 3891.365 3584.953 4143.354
1.081 3898.361 3592.596 4149.952
1.082 3905.297 3600.237 4156.618
1.083 3912.176 3607.89 4163.237
1.085 3918.999 3615.383 4169.779
1.086 3925.767 3622.78 4176.198
1.087 3932.481 3630.108 4182.693
1.088 3939.143 3637.363 4189.124
1.089 3945.754 3644.625 4195.536
1.091 3952.315 3651.906 4201.827
1.092 3958.827 3659.016 4208.068
1.093 3965.291 3666.202 4214.353
1.094 3971.708 3673.265 4220.55
1.095 3978.08 3680.285 4226.669
1.096 3984.406 3687.282 4232.758
1.098 3990.689 3694.092 4238.792
1.099 3996.929 3701.053 4244.79
1.1 4003.127 3707.874 4250.752
1.101 4009.284 3714.638 4256.603
1.103 4015.401 3721.3 4262.468
1.104 4021.478 3728.004 4268.313
1.105 4027.516 3734.56 4274.109
1.106 4033.517 3740.95 4279.87
1.107 4039.48 3747.456 4285.606
1.109 4045.407 3753.751 4291.294
1.11 4051.297 3760.212 4296.964
1.111 4057.153 3766.678 4302.516
1.112 4062.975 3772.983 4308.154
1.114 4068.762 3779.177 4313.651
1.115 4074.516 3785.422 4319.161
1.116 4080.238 3791.695 4324.635
1.117 4085.928 3797.861 4330.145
1.119 4091.586 3803.935 4335.516
1.12 4097.214 3810.045 4340.938
1.121 4102.811 3816.13 4346.311
1.122 4108.379 3822.198 4351.632
1.124 4113.917 3828.228 4356.973
1.125 4119.426 3834.164 4362.214
1.126 4124.907 3839.992 4367.522
1.127 4130.361 3845.951 4372.811
1.129 4135.787 3851.824 4378.068
1.13 4141.186 3857.657 4383.24
1.131 4146.559 3863.39 4388.443
1.133 4151.906 3869.101 4393.532
1.134 4157.228 3874.822 4398.755
1.135 4162.524 3880.578 4403.865
1.136 4167.795 3886.282 4408.964
1.138 4173.043 3891.957 4413.981
1.139 4178.266 3897.633 4419.065
1.14 4183.466 3903.23 4424.087
1.142 4188.642 3908.767 4429.153
1.143 4193.796 3914.422 4434.205
1.144 4198.927 3920.01 4439.15
1.145 4204.037 3925.55 4444.124
1.147 4209.124 3931.093 4449.019
1.148 4214.19 3936.562 4453.98
1.149 4219.235 3942.016 4458.887
1.151 4224.259 3947.411 4463.685
1.152 4229.262 3952.75 4468.56
1.153 4234.246 3958.147 4473.354
1.155 4239.209 3963.411 4478.154
1.156 4244.153 3968.725 4482.911
1.157 4249.077 3973.974 4487.644
1.159 4253.983 3979.254 4492.434
1.16 4258.869 3984.503 4497.306
1.161 4263.738 3989.801 4501.997
1.163 4268.588 3995.094 4506.743
1.164 4273.42 4000.165 4511.486
1.166 4278.234 4005.308 4516.154
1.167 4283.031 4010.447 4520.793
1.168 4287.81 4015.586 4525.459
1.17 4292.573 4020.63 4530.123
1.171 4297.318 4025.704 4534.721
1.172 4302.048 4030.731 4539.266
1.174 4306.761 4035.844 4543.905
1.175 4311.458 4040.916 4548.42
1.176 4316.139 4045.96 4552.944
1.178 4320.804 4050.985 4557.491
1.179 4325.454 4055.935 4561.969
1.181 4330.088 4060.896 4566.428
1.182 4334.708 4065.879 4570.918
1.183 4339.313 4070.782 4575.365
1.185 4343.903 4075.708 4579.811
