Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.764918E+04;  0.500000E+03; -0.603673E+01; -0.196667E+04;  0.000000E+00; -0.197271E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.765228E+04;  0.500000E+03; -0.603745E+01; -0.194702E+04;  0.000000E+00; -0.195306E+04
  0.589980E+04;  0.101883E+04;  0.223482E-01;  0.764960E+04;  0.500000E+03; -0.603895E+01; -0.192179E+04;  0.000000E+00; -0.192783E+04
  0.588159E+04;  0.101797E+04;  0.264625E-01;  0.765418E+04;  0.500000E+03; -0.604032E+01; -0.191536E+04;  0.000000E+00; -0.192140E+04
  0.587926E+04;  0.102071E+04;  0.287160E-01;  0.766219E+04;  0.500000E+03; -0.604248E+01; -0.191241E+04;  0.000000E+00; -0.191845E+04
  0.577339E+04;  0.102909E+04;  0.286776E-01;  0.766201E+04;  0.500000E+03; -0.604242E+01; -0.188838E+04;  0.000000E+00; -0.189443E+04
  0.565601E+04;  0.103928E+04;  0.294280E-01;  0.766109E+04;  0.500000E+03; -0.604243E+01; -0.186744E+04;  0.000000E+00; -0.187348E+04
  0.561477E+04;  0.107693E+04;  0.295166E-01;  0.766132E+04;  0.500000E+03; -0.604251E+01; -0.185610E+04;  0.000000E+00; -0.186214E+04
  0.551977E+04;  0.107753E+04;  0.295166E-01;  0.766219E+04;  0.500000E+03; -0.604274E+01; -0.184672E+04;  0.000000E+00; -0.185276E+04
  0.551977E+04;  0.109225E+04;  0.361659E-01;  0.766681E+04;  0.500000E+03; -0.604660E+01; -0.184398E+04;  0.000000E+00; -0.185002E+04
  0.547367E+04;  0.109908E+04;  0.366176E-01;  0.766619E+04;  0.500000E+03; -0.604656E+01; -0.183996E+04;  0.000000E+00; -0.184601E+04
  0.533760E+04;  0.111771E+04;  0.344535E-01;  0.766714E+04;  0.500000E+03; -0.604605E+01; -0.183203E+04;  0.000000E+00; -0.183807E+04
  0.526477E+04;  0.111680E+04;  0.387173E-01;  0.767162E+04;  0.500000E+03; -0.604962E+01; -0.182997E+04;  0.000000E+00; -0.183602E+04
  0.519343E+04;  0.112433E+04;  0.394471E-01;  0.767170E+04;  0.500000E+03; -0.604997E+01; -0.182883E+04;  0.000000E+00; -0.183488E+04
  0.517187E+04;  0.112699E+04;  0.419157E-01;  0.767450E+04;  0.500000E+03; -0.605245E+01; -0.182862E+04;  0.000000E+00; -0.183467E+04
  0.522111E+04;  0.112699E+04;  0.395339E-01;  0.767705E+04;  0.500000E+03; -0.605274E+01; -0.182870E+04;  0.000000E+00; -0.183475E+04
  0.514901E+04;  0.114819E+04;  0.337707E-01;  0.767790E+04;  0.500000E+03; -0.605088E+01; -0.182758E+04;  0.000000E+00; -0.183363E+04
  0.506779E+04;  0.115941E+04;  0.253249E-01;  0.767577E+04;  0.500000E+03; -0.604692E+01; -0.182805E+04;  0.000000E+00; -0.183410E+04
  0.506977E+04;  0.116091E+04;  0.222839E-01;  0.767582E+04;  0.500000E+03; -0.604614E+01; -0.182801E+04;  0.000000E+00; -0.183406E+04
  0.509782E+04;  0.118185E+04;  0.210930E-01;  0.767280E+04;  0.500000E+03; -0.604431E+01; -0.182715E+04;  0.000000E+00; -0.183320E+04
  0.501436E+04;  0.119881E+04;  0.261211E-01;  0.767530E+04;  0.500000E+03; -0.604689E+01; -0.182784E+04;  0.000000E+00; -0.183389E+04
  0.508037E+04;  0.117618E+04;  0.262869E-01;  0.767680E+04;  0.500000E+03; -0.604776E+01; -0.182726E+04;  0.000000E+00; -0.183331E+04
  0.522714E+04;  0.118433E+04;  0.260500E-01;  0.767139E+04;  0.500000E+03; -0.604495E+01; -0.182723E+04;  0.000000E+00; -0.183327E+04
  0.518171E+04;  0.117431E+04;  0.228854E-01;  0.767808E+04;  0.500000E+03; -0.604756E+01; -0.182705E+04;  0.000000E+00; -0.183309E+04
  0.513357E+04;  0.117092E+04;  0.228762E-01;  0.767835E+04;  0.500000E+03; -0.604772E+01; -0.182707E+04;  0.000000E+00; -0.183312E+04
  0.513357E+04;  0.115225E+04;  0.175047E-01;  0.767908E+04;  0.500000E+03; -0.604695E+01; -0.182790E+04;  0.000000E+00; -0.183395E+04
  0.501991E+04;  0.116956E+04;  0.230017E-01;  0.768023E+04;  0.500000E+03; -0.604891E+01; -0.182851E+04;  0.000000E+00; -0.183456E+04
  0.512328E+04;  0.118483E+04;  0.237946E-01;  0.768015E+04;  0.500000E+03; -0.604906E+01; -0.182669E+04;  0.000000E+00; -0.183274E+04
  0.519780E+04;  0.118227E+04;  0.107522E-01;  0.767990E+04;  0.500000E+03; -0.604640E+01; -0.182770E+04;  0.000000E+00; -0.183375E+04
  0.511978E+04;  0.118696E+04;  0.135493E-01;  0.768644E+04;  0.500000E+03; -0.605129E+01; -0.182698E+04;  0.000000E+00; -0.183303E+04
  0.513976E+04;  0.118436E+04;  0.181729E-01;  0.768598E+04;  0.500000E+03; -0.605176E+01; -0.182678E+04;  0.000000E+00; -0.183283E+04
  0.521062E+04;  0.119206E+04;  0.163132E-01;  0.768463E+04;  0.500000E+03; -0.605042E+01; -0.182719E+04;  0.000000E+00; -0.183324E+04
  0.510177E+04;  0.120239E+04;  0.136528E-01;  0.769405E+04;  0.500000E+03; -0.605766E+01; -0.182666E+04;  0.000000E+00; -0.183272E+04
  0.506922E+04;  0.119937E+04;  0.127570E-01;  0.769619E+04;  0.500000E+03; -0.605952E+01; -0.182697E+04;  0.000000E+00; -0.183303E+04
  0.520818E+04;  0.119549E+04;  0.140435E-01;  0.769341E+04;  0.500000E+03; -0.605713E+01; -0.182706E+04;  0.000000E+00; -0.183312E+04
  0.520818E+04;  0.118099E+04;  0.152378E-01;  0.769180E+04;  0.500000E+03; -0.605591E+01; -0.182726E+04;  0.000000E+00; -0.183332E+04
  0.520812E+04;  0.119278E+04;  0.144635E-01;  0.769060E+04;  0.500000E+03; -0.605476E+01; -0.182713E+04;  0.000000E+00; -0.183319E+04
  0.519483E+04;  0.120269E+04;  0.201100E-01;  0.769168E+04;  0.500000E+03; -0.605676E+01; -0.182648E+04;  0.000000E+00; -0.183254E+04
  0.519483E+04;  0.121559E+04;  0.216995E-01;  0.768828E+04;  0.500000E+03; -0.605432E+01; -0.182637E+04;  0.000000E+00; -0.183243E+04
  0.518318E+04;  0.123395E+04;  0.209924E-01;  0.769190E+04;  0.500000E+03; -0.605715E+01; -0.182624E+04;  0.000000E+00; -0.183230E+04
  0.512915E+04;  0.124256E+04;  0.227798E-01;  0.769080E+04;  0.500000E+03; -0.605665E+01; -0.182604E+04;  0.000000E+00; -0.183210E+04
  0.512476E+04;  0.125510E+04;  0.236864E-01;  0.769336E+04;  0.500000E+03; -0.605911E+01; -0.182604E+04;  0.000000E+00; -0.183210E+04
  0.522850E+04;  0.121945E+04;  0.271834E-01;  0.769367E+04;  0.500000E+03; -0.606038E+01; -0.182624E+04;  0.000000E+00; -0.183230E+04
  0.510221E+04;  0.123750E+04;  0.264051E-01;  0.769334E+04;  0.500000E+03; -0.605985E+01; -0.182590E+04;  0.000000E+00; -0.183196E+04
  0.503225E+04;  0.125249E+04;  0.315426E-01;  0.769492E+04;  0.500000E+03; -0.606294E+01; -0.182651E+04;  0.000000E+00; -0.183257E+04
  0.507204E+04;  0.123943E+04;  0.318108E-01;  0.769877E+04;  0.500000E+03; -0.606677E+01; -0.182586E+04;  0.000000E+00; -0.183192E+04
  0.507204E+04;  0.123425E+04;  0.376474E-01;  0.770120E+04;  0.500000E+03; -0.607153E+01; -0.182568E+04;  0.000000E+00; -0.183175E+04
  0.502767E+04;  0.122324E+04;  0.368828E-01;  0.770332E+04;  0.500000E+03; -0.607349E+01; -0.182653E+04;  0.000000E+00; -0.183261E+04
  0.498705E+04;  0.121931E+04;  0.447892E-01;  0.770380E+04;  0.500000E+03; -0.607761E+01; -0.182762E+04;  0.000000E+00; -0.183370E+04
  0.507452E+04;  0.121205E+04;  0.448147E-01;  0.770675E+04;  0.500000E+03; -0.608098E+01; -0.182574E+04;  0.000000E+00; -0.183182E+04
  0.512127E+04;  0.120497E+04;  0.439647E-01;  0.770912E+04;  0.500000E+03; -0.608340E+01; -0.182524E+04;  0.000000E+00; -0.183132E+04
  0.524756E+04;  0.117736E+04;  0.527199E-01;  0.770537E+04;  0.500000E+03; -0.608367E+01; -0.182578E+04;  0.000000E+00; -0.183187E+04
  0.527099E+04;  0.118450E+04;  0.553877E-01;  0.770585E+04;  0.500000E+03; -0.608583E+01; -0.182574E+04;  0.000000E+00; -0.183183E+04
  0.510500E+04;  0.119048E+04;  0.610806E-01;  0.770245E+04;  0.500000E+03; -0.608572E+01; -0.182611E+04;  0.000000E+00; -0.183219E+04
  0.508292E+04;  0.119144E+04;  0.600667E-01;  0.769811E+04;  0.500000E+03; -0.608053E+01; -0.182652E+04;  0.000000E+00; -0.183260E+04
  0.510406E+04;  0.118085E+04;  0.563524E-01;  0.770801E+04;  0.500000E+03; -0.608896E+01; -0.182629E+04;  0.000000E+00; -0.183238E+04
  0.511549E+04;  0.118312E+04;  0.585988E-01;  0.770331E+04;  0.500000E+03; -0.608500E+01; -0.182614E+04;  0.000000E+00; -0.183222E+04
  0.502992E+04;  0.119669E+04;  0.524449E-01;  0.769782E+04;  0.500000E+03; -0.607548E+01; -0.182734E+04;  0.000000E+00; -0.183342E+04
  0.503492E+04;  0.119967E+04;  0.536251E-01;  0.769045E+04;  0.500000E+03; -0.606944E+01; -0.182724E+04;  0.000000E+00; -0.183331E+04
  0.505913E+04;  0.119894E+04;  0.478342E-01;  0.769019E+04;  0.500000E+03; -0.606596E+01; -0.182662E+04;  0.000000E+00; -0.183269E+04
